1 10 1164 BB 61 | 1 1 1 1 1 0 1 1 1 1
2 10 724 BB 36 | 1 1 1 0 0 1 1 1 1 1
3 10 1134 BB 87 | 0 1 1 1 1 1 1 1 1 1
4 10 1157 BB 26 | 1 1 1 1 0 0 1 1 1 1
5 10 1006 BB 23 | 1 1 1 1 1 1 0 1 0 1
6 10 1561 BB 40 | 1 0 1 1 1 1 1 1 1 1
7 10 853 BB 45 | 1 1 1 0 1 1 1 1 0 1
8 10 1140 BB 60 | 1 1 0 1 1 1 1 1 1 1
9 10 1347 BB 68 | 1 1 0 1 1 1 1 1 1 1
10 10 1548 BB 48 | 1 1 0 0 1 1 1 1 1 1
11 10 1496 BB 25 | 1 1 1 1 1 0 1 1 1 1
12 10 1294 BB 20 | 1 1 1 1 1 1 1 0 1 1
13 10 695 BB 70 | 1 1 1 1 1 0 0 1 1 1
14 10 1245 BB 28 | 1 1 0 1 1 0 1 1 1 1
15 10 1243 BB 84 | 1 1 1 1 0 1 1 0 1 1
16 10 1335 BB 53 | 1 1 1 0 1 1 1 1 1 1
17 10 614 BB 16 | 1 1 1 1 0 1 1 1 0 1
18 10 1501 BB 65 | 1 1 0 1 1 1 1 1 0 1
19 10 1208 BB 10 | 1 1 1 1 1 1 0 1 1 0
20 10 922 BB 118 | 0 1 1 1 1 1 1 1 1 1
21 10 901 BB 201 | 1 1 0 0 1 1 1 1 1 1
22 10 1015 BB 35 | 1 1 1 1 0 1 0 1 1 1
23 10 1352 BB 82 | 0 1 1 0 1 1 1 1 1 1
24 10 1084 BB 40 | 1 1 1 0 1 1 1 1 0 1
25 10 1345 BB 103 | 1 1 1 1 1 1 0 1 1 1
26 10 1072 BB 47 | 1 1 1 1 1 1 1 1 1 0
27 10 958 BB 32 | 1 1 1 1 1 1 1 1 0 0
28 10 1057 BB 14 | 1 1 1 1 1 0 1 1 1 1
29 10 1002 BB 74 | 1 1 1 0 1 1 1 0 1 1
30 10 1020 BB 15 | 1 1 1 1 1 1 0 1 1 1
31 10 902 BB 89 | 0 1 1 1 1 0 1 1 1 1
32 10 1341 BB 61 | 1 0 1 1 1 1 1 1 1 1
33 10 1251 BB 40 | 1 1 0 1 1 1 1 1 1 0
34 10 1751 BB 54 | 1 1 1 0 1 1 1 1 1 1
35 10 1454 BB 81 | 1 1 1 1 1 0 1 0 1 1
36 10 1227 BB 28 | 1 1 1 0 1 1 1 1 1 1
37 10 1338 BB 40 | 1 1 1 0 1 1 1 1 1 1
38 10 1268 BB 61 | 1 0 1 1 1 1 1 1 1 1
39 10 1421 BB 30 | 1 1 1 0 1 1 1 1 1 1
40 10 1408 BB 10 | 1 1 1 1 1 1 1 1 0 1
41 10 1331 BB 58 | 1 0 1 1 1 1 1 1 0 0
42 10 861 BB 108 | 1 1 1 1 1 1 1 1 0 1
43 10 1328 BB 60 | 1 1 0 1 1 0 1 1 1 1
44 10 1214 BB 60 | 0 1 1 1 1 1 0 1 1 1
45 10 1238 BB 66 | 0 1 1 1 1 1 1 1 0 1
46 10 1400 BB 28 | 1 1 1 1 0 1 1 1 1 0
47 10 1463 BB 10 | 1 1 1 1 1 1 1 1 0 1
48 10 1361 BB 29 | 1 1 1 1 1 0 1 1 1 1
49 10 1225 BB 64 | 1 1 1 1 0 1 1 0 1 1
50 10 1243 BB 89 | 1 0 1 1 0 1 1 1 1 1
51 10 1418 BB 71 | 1 0 1 1 1 0 1 1 1 1
52 10 1378 BB 111 | 0 0 1 1 1 1 1 1 1 1
53 10 1022 BB 66 | 1 1 1 0 0 1 1 0 1 1
54 10 1462 BB 34 | 0 1 1 1 1 1 1 1 1 0
55 10 1129 BB 38 | 1 1 1 1 1 1 0 1 0 1
56 10 1163 BB 23 | 1 1 1 1 1 1 1 1 1 0
57 10 1131 BB 42 | 1 1 1 0 1 1 0 1 1 1
58 10 1262 BB 22 | 1 1 1 1 1 1 1 0 0 1
59 10 1317 BB 26 | 1 1 1 1 1 1 0 1 1 1
60 10 1032 BB 39 | 1 0 1 1 1 1 1 1 0 1
61 10 1260 BB 173 | 1 0 1 0 1 1 1 1 1 1
62 10 1109 BB 74 | 1 1 1 0 1 1 1 1 1 1
63 10 838 BB 88 | 0 1 1 1 1 1 1 1 1 1
64 10 1679 BB 10 | 1 1 1 1 1 1 1 1 1 0
65 10 997 BB 140 | 0 1 1 1 1 1 1 0 1 1
66 10 1033 BB 57 | 1 0 1 1 0 1 1 1 1 1
67 10 993 BB 56 | 1 0 1 1 1 0 1 1 1 1
68 10 1146 BB 13 | 1 1 1 1 1 1 0 1 1 0
69 10 1199 BB 61 | 1 1 1 0 0 0 1 0 1 1
70 10 1117 BB 131 | 1 0 0 1 1 1 1 1 1 1
71 10 1416 BB 66 | 1 1 0 1 1 1 0 1 1 1
