1 10 1164 DPWeight 5010 | 1 1 1 1 1 0 1 1 1 1
2 10 724 DPWeight 5640 | 1 1 1 0 0 1 1 1 1 1
3 10 1134 DPWeight 6920 | 0 1 1 1 1 1 1 1 1 1
4 10 1157 DPWeight 10260 | 1 1 1 1 0 0 1 1 1 1
5 10 1006 DPWeight 4900 | 1 1 1 1 1 1 0 1 0 1
6 10 1561 DPWeight 5880 | 1 0 1 1 1 1 1 1 1 1
7 10 853 DPWeight 8760 | 1 1 1 0 1 1 1 1 0 1
8 10 1140 DPWeight 5760 | 1 1 0 1 1 1 1 1 1 1
9 10 1347 DPWeight 3970 | 1 1 0 1 1 1 1 1 1 1
10 10 1548 DPWeight 4190 | 1 1 0 0 1 1 1 1 1 1
11 10 1496 DPWeight 4850 | 1 1 1 1 1 0 1 1 1 1
12 10 1294 DPWeight 5790 | 1 1 1 1 1 1 1 0 1 1
13 10 695 DPWeight 8280 | 1 1 1 1 1 0 0 1 1 1
14 10 1245 DPWeight 8580 | 1 1 0 1 1 0 1 1 1 1
15 10 1243 DPWeight 7340 | 1 1 1 1 0 1 1 0 1 1
16 10 1335 DPWeight 4470 | 1 1 1 0 1 1 1 1 1 1
17 10 614 DPWeight 5480 | 1 1 1 1 0 1 1 1 0 1
18 10 1501 DPWeight 7940 | 1 1 0 1 1 1 1 1 0 1
19 10 1208 DPWeight 4940 | 1 1 1 1 1 1 0 1 1 0
20 10 922 DPWeight 4860 | 0 1 1 1 1 1 1 1 1 1
21 10 901 DPWeight 6820 | 1 1 0 0 1 1 1 1 1 1
22 10 1015 DPWeight 6690 | 1 1 1 1 0 1 0 1 1 1
23 10 1352 DPWeight 6900 | 0 1 1 0 1 1 1 1 1 1
24 10 1084 DPWeight 8000 | 1 1 1 0 1 1 1 1 0 1
25 10 1345 DPWeight 5840 | 1 1 1 1 1 1 0 1 1 1
26 10 1072 DPWeight 6510 | 1 1 1 1 1 1 1 1 1 0
27 10 958 DPWeight 8160 | 1 1 1 1 1 1 1 1 0 0
28 10 1057 DPWeight 9600 | 1 1 1 1 1 0 1 1 1 1
29 10 1002 DPWeight 5600 | 1 1 1 0 1 1 1 0 1 1
30 10 1020 DPWeight 8560 | 1 1 1 1 1 1 1 0 1 1
31 10 902 DPWeight 6300 | 0 1 1 1 1 0 1 1 1 1
32 10 1341 DPWeight 3610 | 1 0 1 1 1 1 1 1 1 1
33 10 1251 DPWeight 7440 | 1 1 0 1 1 1 1 1 1 0
34 10 1751 DPWeight 4900 | 1 1 1 0 1 1 1 1 1 1
35 10 1454 DPWeight 8230 | 1 1 1 1 1 0 1 0 1 1
36 10 1227 DPWeight 5560 | 1 1 1 0 1 1 1 1 1 1
37 10 1338 DPWeight 4420 | 1 1 1 0 1 1 1 1 1 1
38 10 1268 DPWeight 6690 | 1 0 1 1 1 1 1 1 1 1
39 10 1421 DPWeight 6310 | 1 1 1 0 1 1 1 1 1 1
40 10 1408 DPWeight 7060 | 1 1 1 1 1 1 1 1 0 1
41 10 1331 DPWeight 6370 | 1 0 1 1 1 1 1 1 0 0
42 10 861 DPWeight 6540 | 1 1 1 1 1 1 1 1 0 1
43 10 1328 DPWeight 8080 | 1 1 0 1 1 0 1 1 1 1
44 10 1214 DPWeight 5750 | 0 1 1 1 1 1 0 1 1 1
45 10 1238 DPWeight 9380 | 0 1 1 1 1 1 1 1 0 1
46 10 1400 DPWeight 8680 | 1 1 1 1 0 1 1 1 1 0
47 10 1463 DPWeight 6360 | 1 1 1 1 1 1 1 1 0 1
48 10 1361 DPWeight 7230 | 1 1 1 1 1 0 1 1 1 1
49 10 1225 DPWeight 5800 | 1 1 1 1 0 1 1 0 1 1
50 10 1243 DPWeight 8170 | 1 0 1 1 0 1 1 1 1 1
51 10 1418 DPWeight 10660 | 1 0 1 1 1 0 1 1 1 1
52 10 1378 DPWeight 8150 | 0 0 1 1 1 1 1 1 1 1
53 10 1022 DPWeight 7840 | 1 1 1 0 0 1 1 0 1 1
54 10 1462 DPWeight 5420 | 0 1 1 1 1 1 1 1 1 0
55 10 1129 DPWeight 6350 | 1 1 1 1 1 1 0 1 0 1
56 10 1163 DPWeight 4150 | 1 1 1 1 1 1 1 1 1 0
57 10 1131 DPWeight 8840 | 1 1 1 0 1 1 0 1 1 1
58 10 1262 DPWeight 7960 | 1 1 1 1 1 1 1 0 0 1
59 10 1317 DPWeight 6710 | 1 1 1 1 1 1 0 1 1 1
60 10 1032 DPWeight 6480 | 1 0 1 1 1 1 1 1 0 1
61 10 1260 DPWeight 6020 | 1 0 1 0 1 1 1 1 1 1
62 10 1109 DPWeight 6840 | 1 1 1 0 1 1 1 1 1 1
63 10 838 DPWeight 8310 | 0 1 1 1 1 1 1 1 1 1
64 10 1679 DPWeight 4850 | 1 1 1 1 1 1 1 1 1 0
65 10 997 DPWeight 6180 | 0 1 1 1 1 1 1 0 1 1
66 10 1033 DPWeight 7420 | 1 0 1 1 0 1 1 1 1 1
67 10 993 DPWeight 3650 | 1 0 1 1 1 0 1 1 1 1
68 10 1146 DPWeight 7840 | 1 1 1 1 1 1 0 1 1 0
69 10 1199 DPWeight 4780 | 1 1 1 0 0 0 1 0 1 1
70 10 1117 DPWeight 7920 | 1 0 0 1 1 1 1 1 1 1
71 10 1416 DPWeight 6710 | 1 1 0 1 1 1 0 1 1 1
72 10 990 DPWeight 5640 | 0 1 1 0 1 1 1 1 1 1
73 10 1030 DPWeight 5560 | 1 1 0 1 1 1 1 1 1 1
74 10 1284 DPWeight 5000 | 1 1 1 1 1 1 0 1 0 1
75 10 1073 DPWeight 6830 | 0 0 1 1 1 1 1 1 1 1
76 10 1309 DPWeight 6530 | 1 1 1 0 1 1 1 1 1 1
77 10 1060 DPWeight 8920 | 1 0 1 1 1 1 0 1 1 1
78 10 1081 DPWeight 7320 | 1 0 1 1 1 1 1 1 1 0
79 10 1470 DPWeight 4250 | 1 1 1 1 1 1 1 1 1 0
80 10 1057 DPWeight 3040 | 1 1 0 1 1 1 1 1 1 1
81 10 1047 DPWeight 5870 | 1 0 1 1 1 1 1 1 1 1
82 10 916 DPWeight 9130 | 1 0 1 1 1 1 1 1 1 1
83 10 1604 DPWeight 4210 | 0 1 1 1 1 1 1 1 1 1
84 10 1250 DPWeight 7040 | 1 0 1 0 1 1 1 1 1 1
85 10 1151 DPWeight 6460 | 1 1 1 1 1 1 1 0 1 0
86 10 1064 DPWeight 7560 | 1 1 1 1 1 1 1 1 1 0
87 10 1233 DPWeight 8880 | 1 1 0 1 1 0 1 1 1 1
88 10 874 DPWeight 6600 | 1 1 1 1 1 0 1 1 1 1
89 10 1363 DPWeight 7900 | 1 1 1 1 1 0 1 1 1 0
90 10 942 DPWeight 8630 | 1 0 1 1 0 1 1 1 1 1
91 10 1297 DPWeight 7760 | 1 1 1 1 1 1 1 1 0 0
92 10 1008 DPWeight 9200 | 0 1 1 1 1 1 1 0 1 1
93 10 1129 DPWeight 6920 | 0 0 1 1 1 1 1 1 1 1
94 10 1171 DPWeight 4280 | 1 0 1 1 1 1 0 1 0 1
95 10 1322 DPWeight 6090 | 1 1 1 1 1 1 1 0 1 1
96 10 1195 DPWeight 7960 | 0 1 1 1 1 1 0 1 1 1
97 10 777 DPWeight 5700 | 1 1 1 0 1 0 1 1 1 1
98 10 1170 DPWeight 7860 | 1 1 1 1 1 0 1 0 1 1
99 10 1170 DPWeight 7060 | 1 1 1 1 0 1 1 0 1 1
100 10 949 DPWeight 6450 | 1 0 1 1 1 1 1 1 1 1
