1 10 1164 SBB 48 | 1 1 1 1 1 0 1 1 1 1
2 10 724 SBB 10 | 1 1 1 0 0 1 1 1 1 1
3 10 1134 SBB 25 | 0 1 1 1 1 1 1 1 1 1
4 10 1157 SBB 10 | 1 1 1 1 0 0 1 1 1 1
5 10 1006 SBB 10 | 1 1 1 1 1 1 0 1 0 1
6 10 1561 SBB 10 | 1 0 1 1 1 1 1 1 1 1
7 10 853 SBB 71 | 1 1 1 0 1 1 1 1 0 1
8 10 1140 SBB 19 | 1 1 0 1 1 1 1 1 1 1
9 10 1347 SBB 21 | 1 1 0 1 1 1 1 1 1 1
10 10 1548 SBB 20 | 1 1 0 0 1 1 1 1 1 1
11 10 1496 SBB 19 | 1 1 1 1 1 0 1 1 1 1
12 10 1294 SBB 11 | 1 1 1 1 1 1 1 0 1 1
13 10 695 SBB 23 | 1 1 1 1 1 0 0 1 1 1
14 10 1245 SBB 10 | 1 1 0 1 1 0 1 1 1 1
15 10 1243 SBB 91 | 1 1 1 1 0 1 1 0 1 1
16 10 1335 SBB 16 | 1 1 1 0 1 1 1 1 1 1
17 10 614 SBB 10 | 1 1 1 1 0 1 1 1 0 1
18 10 1501 SBB 89 | 1 0 1 1 1 1 1 1 1 1
19 10 1208 SBB 13 | 1 1 1 1 1 1 0 1 1 0
20 10 922 SBB 39 | 0 1 1 1 1 1 1 1 1 1
21 10 901 SBB 171 | 1 1 0 0 1 1 1 1 1 1
22 10 1015 SBB 34 | 1 1 1 1 0 1 0 1 1 1
23 10 1352 SBB 10 | 0 1 1 0 1 1 1 1 1 1
24 10 1084 SBB 21 | 1 1 1 0 1 1 1 1 0 1
25 10 1345 SBB 73 | 1 1 1 1 1 1 0 1 1 1
26 10 1072 SBB 20 | 1 1 1 1 1 1 1 1 1 0
27 10 958 SBB 69 | 1 1 1 1 1 1 1 1 0 0
28 10 1057 SBB 11 | 1 1 1 1 1 0 1 1 1 1
29 10 1002 SBB 16 | 1 1 1 0 1 1 1 0 1 1
30 10 1020 SBB 10 | 1 1 1 1 1 1 0 1 1 1
31 10 902 SBB 22 | 0 1 1 1 1 0 1 1 1 1
32 10 1341 SBB 20 | 1 0 1 1 1 1 1 1 1 1
33 10 1251 SBB 32 | 1 1 0 1 1 1 1 1 1 0
34 10 1751 SBB 14 | 1 1 1 0 1 1 1 1 1 1
35 10 1454 SBB 55 | 1 1 1 1 1 0 1 0 1 1
36 10 1227 SBB 10 | 1 1 1 0 1 1 1 1 1 1
37 10 1338 SBB 32 | 1 1 1 0 1 1 1 1 1 1
38 10 1268 SBB 10 | 1 0 1 1 1 1 1 1 1 1
39 10 1421 SBB 18 | 1 1 1 0 1 1 1 1 1 1
40 10 1408 SBB 10 | 1 1 1 1 1 1 1 1 0 1
41 10 1331 SBB 45 | 1 0 1 1 1 1 1 1 0 0
42 10 861 SBB 88 | 1 1 1 1 1 1 1 1 0 1
43 10 1328 SBB 10 | 1 1 0 1 1 0 1 1 1 1
44 10 1214 SBB 73 | 0 1 1 1 1 1 0 1 1 1
45 10 1238 SBB 19 | 0 1 1 1 1 1 1 1 0 1
46 10 1400 SBB 10 | 1 1 1 1 0 1 1 1 1 0
47 10 1463 SBB 10 | 1 1 1 1 1 1 1 1 0 1
48 10 1361 SBB 27 | 1 1 1 1 1 0 1 1 1 1
49 10 1225 SBB 10 | 1 1 1 1 0 1 1 0 1 1
50 10 1243 SBB 18 | 1 0 1 1 0 1 1 1 1 1
51 10 1418 SBB 10 | 1 0 1 1 1 0 1 1 1 1
52 10 1378 SBB 16 | 0 0 1 1 1 1 1 1 1 1
53 10 1022 SBB 18 | 1 1 1 0 0 1 1 0 1 1
54 10 1462 SBB 10 | 0 1 1 1 1 1 1 1 1 0
55 10 1129 SBB 23 | 1 1 1 1 1 1 0 1 0 1
56 10 1163 SBB 17 | 1 1 1 1 1 1 1 1 1 0
