1 15 1634 DPWeight 33720 | 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1
2 15 1612 DPWeight 31830 | 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0
3 15 1632 DPWeight 27180 | 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1
4 15 1734 DPWeight 32550 | 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1
5 15 1478 DPWeight 27330 | 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
6 15 1876 DPWeight 33210 | 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1
7 15 2319 DPWeight 33180 | 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0
8 15 1939 DPWeight 34200 | 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1
9 15 1297 DPWeight 27195 | 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1
10 15 1813 DPWeight 28095 | 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
11 15 1661 DPWeight 31665 | 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1
12 15 2220 DPWeight 28170 | 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1
13 15 1236 DPWeight 35160 | 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1
14 15 1471 DPWeight 29310 | 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1
15 15 1919 DPWeight 30495 | 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1
16 15 1807 DPWeight 28620 | 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1
17 15 1877 DPWeight 29160 | 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1
18 15 1529 DPWeight 24135 | 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1
19 15 1669 DPWeight 31230 | 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1
20 15 1279 DPWeight 26175 | 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
21 15 1794 DPWeight 32520 | 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1
22 15 2133 DPWeight 32370 | 1 1 1 0 0 1 1 1 0 1 1 1 1 0 1
23 15 1903 DPWeight 28830 | 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1
24 15 1552 DPWeight 30045 | 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1
25 15 2105 DPWeight 32400 | 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1
26 15 2061 DPWeight 29580 | 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1
27 15 1520 DPWeight 27885 | 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1
28 15 1849 DPWeight 29700 | 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1
29 15 1550 DPWeight 26805 | 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0
30 15 2231 DPWeight 28020 | 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1
31 15 1967 DPWeight 28440 | 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1
32 15 1681 DPWeight 29220 | 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1
33 15 1974 DPWeight 25365 | 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1
34 15 1971 DPWeight 25830 | 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1
35 15 2092 DPWeight 33000 | 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1
36 15 1627 DPWeight 34380 | 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1
37 15 1844 DPWeight 24555 | 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1
38 15 2004 DPWeight 29475 | 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0
39 15 1361 DPWeight 31065 | 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1
40 15 1960 DPWeight 31800 | 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1
41 15 1800 DPWeight 28650 | 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1
42 15 1919 DPWeight 31470 | 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1
43 15 1449 DPWeight 32835 | 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1
44 15 1632 DPWeight 29640 | 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1
45 15 1592 DPWeight 33540 | 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1
46 15 2079 DPWeight 27960 | 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0
47 15 1758 DPWeight 31800 | 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1
48 15 1524 DPWeight 33435 | 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1
49 15 1918 DPWeight 30000 | 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1
50 15 1759 DPWeight 25740 | 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1
51 15 1879 DPWeight 36855 | 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0
52 15 1403 DPWeight 32430 | 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1
53 15 1373 DPWeight 28680 | 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1
54 15 2142 DPWeight 33930 | 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1
55 15 2247 DPWeight 32145 | 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
56 15 1584 DPWeight 24495 | 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0
57 15 1470 DPWeight 30420 | 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1
58 15 1936 DPWeight 28860 | 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0
59 15 2163 DPWeight 27825 | 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1
60 15 1649 DPWeight 25095 | 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1
61 15 1897 DPWeight 32310 | 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1
62 15 1856 DPWeight 30480 | 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1
63 15 1767 DPWeight 30195 | 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1
64 15 1893 DPWeight 28035 | 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1
65 15 1819 DPWeight 27855 | 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1
66 15 1900 DPWeight 37350 | 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1
67 15 1795 DPWeight 32385 | 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1
68 15 1457 DPWeight 29850 | 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1
69 15 1765 DPWeight 28470 | 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0
70 15 2047 DPWeight 33030 | 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0
71 15 1313 DPWeight 33585 | 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1
72 15 1726 DPWeight 32340 | 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1
73 15 1438 DPWeight 31800 | 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1
74 15 2012 DPWeight 34875 | 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1
75 15 1789 DPWeight 36600 | 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1
76 15 1811 DPWeight 25575 | 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1
77 15 1727 DPWeight 33495 | 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1
78 15 2280 DPWeight 31470 | 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1
79 15 2263 DPWeight 29355 | 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1
80 15 1680 DPWeight 29895 | 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1
81 15 1822 DPWeight 30210 | 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1
82 15 1927 DPWeight 31245 | 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1
83 15 1670 DPWeight 29970 | 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1
84 15 2179 DPWeight 26970 | 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
85 15 1551 DPWeight 28545 | 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1
86 15 1369 DPWeight 29700 | 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1
87 15 1686 DPWeight 31605 | 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1
88 15 1521 DPWeight 25890 | 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1
89 15 1489 DPWeight 29655 | 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0
90 15 1796 DPWeight 29220 | 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1
91 15 1648 DPWeight 32820 | 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0
92 15 2040 DPWeight 26145 | 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0
93 15 1658 DPWeight 25740 | 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0
94 15 2279 DPWeight 31710 | 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1
95 15 2244 DPWeight 28110 | 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1
96 15 1666 DPWeight 29550 | 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1
97 15 1604 DPWeight 26355 | 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0
98 15 1432 DPWeight 31845 | 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1
99 15 2136 DPWeight 30780 | 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1
100 15 1691 DPWeight 30045 | 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1
