1 10 830 BB 172 | 1 1 1 0 0 1 1 1 0 1
2 10 1063 BB 73 | 1 1 1 1 1 1 0 1 0 0
3 10 1232 BB 240 | 1 1 0 1 0 1 1 1 1 0
4 10 1063 BB 264 | 1 1 1 0 1 1 1 1 1 0
5 10 1208 BB 210 | 0 1 1 1 1 1 0 1 0 1
6 10 727 BB 193 | 1 1 0 1 1 1 0 1 0 1
7 10 1198 BB 231 | 1 1 0 1 1 1 1 1 1 0
8 10 895 BB 185 | 0 1 1 1 1 1 1 1 1 1
9 10 591 BB 263 | 1 1 0 0 0 1 1 1 1 1
10 10 1202 BB 252 | 0 1 0 1 0 1 1 1 1 1
11 10 961 BB 222 | 1 0 1 1 1 1 0 0 1 1
12 10 972 BB 238 | 1 1 1 1 1 1 1 0 0 1
13 10 1199 BB 131 | 1 1 1 1 0 0 1 1 0 1
14 10 818 BB 101 | 1 1 0 1 1 1 1 0 0 1
15 10 796 BB 190 | 0 1 0 0 1 1 1 1 1 1
16 10 905 BB 147 | 1 0 1 1 1 1 0 1 0 1
17 10 1139 BB 132 | 1 1 1 0 1 0 0 1 1 0
18 10 986 BB 192 | 1 1 1 1 1 0 0 1 0 1
19 10 1137 BB 134 | 0 0 1 1 1 1 1 1 1 1
20 10 1007 BB 207 | 0 0 1 1 0 1 1 1 1 1
21 10 1549 BB 134 | 1 1 1 1 1 0 0 1 1 1
22 10 1168 BB 101 | 1 1 1 0 1 0 1 1 0 1
23 10 1164 BB 264 | 0 1 0 1 1 1 1 1 0 1
24 10 1338 BB 115 | 1 1 1 1 0 1 1 0 1 0
25 10 1321 BB 163 | 0 1 1 1 1 1 1 0 1 0
26 10 1051 BB 297 | 0 1 1 1 0 1 1 1 1 1
27 10 1205 BB 124 | 1 1 1 1 1 0 0 0 1 1
28 10 1408 BB 132 | 1 0 1 1 1 1 0 1 1 1
29 10 1121 BB 155 | 1 0 1 0 0 1 1 1 1 1
30 10 1122 BB 107 | 1 1 1 1 1 0 1 0 1 1
31 10 1054 BB 180 | 1 0 1 1 1 1 0 1 1 0
32 10 690 BB 100 | 1 1 0 1 1 1 0 1 0 1
33 10 1050 BB 239 | 1 0 1 1 0 0 1 1 1 1
34 10 893 BB 103 | 1 1 0 0 1 1 1 0 0 1
35 10 1126 BB 220 | 1 0 0 1 1 1 0 1 1 1
36 10 945 BB 144 | 1 1 1 0 1 1 0 1 1 1
37 10 814 BB 105 | 0 1 1 1 1 1 1 1 1 1
38 10 895 BB 133 | 1 1 1 1 0 1 0 1 1 0
39 10 1240 BB 151 | 1 0 1 1 0 1 0 1 1 1
40 10 663 BB 198 | 0 1 1 1 1 1 1 0 0 1
41 10 1197 BB 113 | 0 1 1 1 1 0 1 1 1 1
42 10 682 BB 339 | 1 1 1 1 0 1 0 1 1 1
43 10 1058 BB 121 | 1 1 1 1 0 0 0 1 1 0
44 10 1189 BB 86 | 1 0 1 1 1 1 1 0 1 1
45 10 996 BB 258 | 1 1 1 1 1 1 0 1 0 1
46 10 1259 BB 181 | 1 1 0 1 1 1 0 0 1 1
47 10 914 BB 141 | 1 1 1 1 0 1 1 0 1 0
48 10 1074 BB 166 | 1 1 0 1 1 1 0 0 1 1
49 10 1019 BB 203 | 1 1 0 1 1 1 1 1 0 1
50 10 1091 BB 129 | 1 1 1 1 1 1 0 0 1 0
51 10 1116 BB 204 | 1 0 1 1 0 1 0 1 1 1
52 10 986 BB 160 | 1 1 1 1 1 1 1 1 0 0
53 10 911 BB 199 | 1 0 1 1 1 1 0 1 1 1
54 10 999 BB 114 | 1 1 0 1 1 1 0 1 1 0
55 10 1096 BB 187 | 1 0 1 1 1 1 1 0 1 0
56 10 1236 BB 251 | 1 1 0 0 1 1 1 1 1 0
57 10 1013 BB 263 | 1 1 1 1 0 1 1 0 1 1
58 10 982 BB 152 | 1 0 1 1 1 0 1 1 1 1
59 10 1186 BB 132 | 1 1 1 1 1 1 1 0 1 0
60 10 641 BB 138 | 1 1 1 0 1 1 1 0 1 1
61 10 1218 BB 117 | 0 1 0 1 1 1 1 0 0 1
62 10 1378 BB 178 | 1 0 1 1 0 1 1 0 1 1
63 10 851 BB 168 | 1 1 1 0 0 1 1 0 1 1
64 10 859 BB 221 | 0 0 1 1 1 1 1 1 1 0
65 10 793 BB 161 | 0 0 1 0 1 1 0 1 1 1
66 10 757 BB 106 | 1 1 1 1 0 0 1 1 1 0
67 10 756 BB 113 | 1 0 1 1 1 1 1 1 1 1
68 10 1146 BB 182 | 1 1 1 1 0 0 1 1 0 1
69 10 1062 BB 199 | 0 1 0 1 1 1 1 1 1 0
70 10 1175 BB 141 | 1 1 1 1 1 0 1 1 1 0
71 10 906 BB 187 | 1 1 1 1 0 1 0 1 1 1
72 10 669 BB 313 | 0 1 0 1 0 1 0 1 1 1
