1 10 830 DP 10310 | 1 1 1 0 0 1 1 1 0 1
2 10 1063 DP 13120 | 1 1 1 1 1 1 0 1 0 0
3 10 1232 DP 15100 | 1 1 0 1 0 1 1 1 1 0
4 10 1063 DP 13090 | 1 1 1 0 1 1 1 1 1 0
5 10 1208 DP 15120 | 0 1 1 1 1 1 0 1 0 1
6 10 727 DP 8980 | 1 1 0 1 1 1 0 1 0 1
7 10 1198 DP 14770 | 1 1 0 1 1 1 1 1 1 0
8 10 895 DP 11280 | 0 1 1 1 1 1 1 1 1 1
9 10 591 DP 6880 | 1 1 0 0 0 1 1 1 1 1
10 10 1202 DP 14810 | 0 1 0 1 0 1 1 1 1 1
11 10 961 DP 11930 | 1 0 1 1 1 1 0 0 1 1
12 10 972 DP 12040 | 1 1 1 1 1 1 1 0 0 1
13 10 1199 DP 14900 | 1 1 1 1 0 0 1 1 0 1
14 10 818 DP 10190 | 1 1 0 1 1 1 1 0 0 1
15 10 796 DP 9740 | 0 1 0 0 1 1 1 1 1 1
16 10 905 DP 11090 | 1 0 1 1 1 1 0 1 0 1
17 10 1139 DP 14200 | 1 1 1 0 1 0 0 1 1 0
18 10 986 DP 12200 | 1 1 1 1 1 0 0 1 0 1
19 10 1137 DP 14140 | 0 0 1 1 1 1 1 1 1 1
20 10 1007 DP 12540 | 0 0 1 1 0 1 1 1 1 1
21 10 1549 DP 19270 | 1 1 1 1 1 0 0 1 1 1
22 10 1168 DP 14400 | 1 1 1 0 1 0 1 1 0 1
23 10 1164 DP 14470 | 0 1 0 1 1 1 1 1 0 1
24 10 1338 DP 16470 | 1 1 1 1 0 1 1 0 1 0
25 10 1321 DP 16470 | 0 1 1 1 1 1 1 0 1 0
26 10 1051 DP 12950 | 0 1 1 1 0 1 1 1 1 1
27 10 1205 DP 14750 | 1 1 1 1 1 0 0 0 1 1
28 10 1408 DP 17470 | 1 0 1 1 1 1 0 1 1 1
29 10 1121 DP 14070 | 1 0 1 0 0 1 1 1 1 1
30 10 1122 DP 14090 | 1 1 1 1 1 0 1 0 1 1
31 10 1054 DP 13000 | 0 0 1 1 1 1 1 1 1 0
32 10 690 DP 8530 | 1 1 0 1 1 1 0 1 0 1
33 10 1050 DP 13000 | 1 0 1 1 0 0 1 1 1 1
34 10 893 DP 10790 | 1 1 0 0 1 1 1 0 0 1
35 10 1126 DP 14080 | 1 0 0 1 1 1 0 1 1 1
36 10 945 DP 11660 | 1 1 1 0 1 1 0 1 1 1
37 10 814 DP 10110 | 0 1 1 1 1 1 1 1 1 1
38 10 895 DP 11180 | 1 1 1 1 0 1 0 1 1 0
39 10 1240 DP 15350 | 1 0 1 1 0 1 0 1 1 1
40 10 663 DP 7880 | 0 1 1 1 1 1 1 0 0 1
41 10 1197 DP 14880 | 0 1 1 1 1 0 1 1 1 1
42 10 682 DP 8470 | 1 1 1 1 0 1 0 1 1 1
43 10 1058 DP 13060 | 1 1 1 1 0 0 0 1 1 0
44 10 1189 DP 14920 | 1 0 1 1 1 1 1 0 1 1
45 10 996 DP 12470 | 1 1 1 1 1 1 0 1 0 1
46 10 1259 DP 15860 | 1 1 0 1 1 1 0 0 1 1
47 10 914 DP 11300 | 1 1 1 1 0 1 1 0 1 0
48 10 1074 DP 13370 | 1 1 0 1 1 1 0 0 1 1
49 10 1019 DP 12800 | 1 1 0 1 1 1 1 1 0 1
50 10 1091 DP 13590 | 1 1 1 1 1 1 0 0 1 0
51 10 1116 DP 13910 | 1 0 1 1 0 1 0 1 1 1
52 10 986 DP 12180 | 1 1 1 1 1 1 1 1 0 0
53 10 911 DP 11300 | 1 0 1 1 1 1 0 1 1 1
54 10 999 DP 12460 | 1 1 0 1 1 1 0 1 1 0
55 10 1096 DP 13540 | 1 0 1 1 1 1 1 0 1 0
56 10 1236 DP 15520 | 1 1 0 0 1 1 1 1 1 0
57 10 1013 DP 12480 | 1 1 1 1 0 1 1 0 1 1
58 10 982 DP 12050 | 1 0 1 1 1 0 1 1 1 1
59 10 1186 DP 14810 | 1 1 1 1 1 1 1 0 1 0
60 10 641 DP 8000 | 1 1 1 0 1 1 1 0 1 1
61 10 1218 DP 15210 | 0 1 0 1 1 1 1 0 0 1
62 10 1378 DP 17420 | 1 0 1 1 0 1 1 0 1 1
63 10 851 DP 10580 | 1 1 1 0 0 1 1 0 1 1
64 10 859 DP 10670 | 0 0 1 1 1 1 1 1 1 0
65 10 793 DP 9740 | 0 0 1 0 1 1 0 1 1 1
66 10 757 DP 9280 | 1 1 1 1 0 0 1 1 1 0
67 10 756 DP 9510 | 1 0 1 1 1 1 1 1 1 1
68 10 1146 DP 14040 | 1 1 1 1 0 0 1 1 0 1
69 10 1062 DP 13130 | 0 1 0 1 1 1 1 1 1 0
70 10 1175 DP 14600 | 1 1 1 1 1 0 1 1 1 0
71 10 906 DP 11160 | 1 1 1 1 0 1 0 1 1 1
72 10 669 DP 8110 | 0 1 0 1 0 1 0 1 1 1
73 10 1020 DP 12770 | 0 1 1 1 1 1 0 1 1 1
74 10 858 DP 10640 | 1 0 1 1 1 1 0 0 0 1
75 10 981 DP 12240 | 1 0 1 0 1 1 1 1 1 0
76 10 1124 DP 14110 | 1 0 1 1 0 1 1 1 0 1
77 10 888 DP 10990 | 1 1 1 1 1 0 1 1 0 1
78 10 1086 DP 13460 | 0 1 1 1 1 1 0 1 1 1
79 10 985 DP 12170 | 1 1 0 1 1 1 0 0 1 1
80 10 1257 DP 15590 | 1 1 0 1 0 1 1 1 1 1
81 10 1382 DP 17290 | 1 1 0 1 1 1 0 1 0 1
82 10 871 DP 10720 | 1 0 1 1 1 0 0 1 1 1
83 10 866 DP 10570 | 1 1 1 0 1 1 1 1 0 0
84 10 1244 DP 15640 | 1 1 1 1 0 0 0 1 1 1
85 10 831 DP 10300 | 0 1 0 1 1 1 1 1 1 1
86 10 1139 DP 14140 | 1 1 1 1 0 1 1 1 1 0
87 10 1153 DP 14210 | 1 1 1 0 1 0 1 0 0 1
88 10 1074 DP 13220 | 1 0 1 0 1 1 0 1 1 1
89 10 1625 DP 20340 | 1 1 1 1 0 1 1 1 0 1
90 10 1264 DP 15770 | 0 1 1 0 1 1 1 0 1 1
91 10 1394 DP 17330 | 1 1 1 0 1 1 1 0 1 0
92 10 1129 DP 14180 | 0 1 1 1 0 1 1 1 1 1
93 10 1185 DP 14690 | 1 1 1 1 1 1 0 0 0 1
94 10 1007 DP 12440 | 0 1 1 0 0 1 1 1 1 1
95 10 1257 DP 15700 | 1 0 1 0 1 1 0 1 1 1
96 10 789 DP 9820 | 1 1 1 0 1 1 1 1 0 0
97 10 895 DP 11180 | 1 0 1 1 1 1 1 1 1 1
98 10 763 DP 9500 | 1 1 0 1 1 1 0 1 1 0
99 10 938 DP 11540 | 1 1 0 1 1 1 0 1 1 1
100 10 843 DP 10150 | 1 0 1 1 0 1 1 0 0 1
