1 10 830 DPWeight 8060 | 1 1 1 0 0 1 1 1 0 1
2 10 1063 DPWeight 10540 | 1 1 1 1 1 1 0 1 0 0
3 10 1232 DPWeight 12160 | 1 1 0 1 0 1 1 1 1 0
4 10 1063 DPWeight 10500 | 1 1 1 0 1 1 1 1 1 0
5 10 1208 DPWeight 11930 | 0 1 1 1 1 1 0 1 0 1
6 10 727 DPWeight 6910 | 1 1 0 1 1 1 0 1 0 1
7 10 1198 DPWeight 11800 | 1 1 0 1 1 1 1 1 1 0
8 10 895 DPWeight 8640 | 1 0 1 0 1 0 1 1 1 1
9 10 591 DPWeight 5520 | 1 1 0 0 0 1 1 1 1 1
10 10 1202 DPWeight 11800 | 0 1 0 1 0 1 1 1 1 1
11 10 961 DPWeight 9210 | 1 0 1 1 1 1 0 0 1 1
12 10 972 DPWeight 9120 | 1 1 1 1 1 1 1 0 0 1
13 10 1199 DPWeight 12160 | 1 1 1 1 0 0 1 1 0 1
14 10 818 DPWeight 7800 | 1 1 0 1 1 1 1 0 0 1
15 10 796 DPWeight 7640 | 0 1 0 0 1 1 1 1 1 1
16 10 905 DPWeight 9200 | 1 0 1 1 1 1 0 1 0 1
17 10 1139 DPWeight 11360 | 1 1 1 0 1 0 0 1 1 0
18 10 986 DPWeight 9600 | 1 1 1 1 1 0 0 1 0 1
19 10 1137 DPWeight 10960 | 0 0 1 1 1 1 1 1 1 1
20 10 1007 DPWeight 10120 | 0 0 1 1 0 1 1 1 1 1
21 10 1549 DPWeight 15380 | 1 1 1 1 1 0 0 1 1 1
22 10 1168 DPWeight 11690 | 1 1 1 0 1 0 1 1 0 1
23 10 1164 DPWeight 11560 | 0 1 0 1 1 1 1 1 0 1
24 10 1338 DPWeight 13320 | 1 1 1 1 0 1 1 0 1 0
25 10 1321 DPWeight 12940 | 0 1 1 1 1 1 1 0 1 0
26 10 1051 DPWeight 9900 | 0 1 1 1 0 1 1 1 1 1
27 10 1205 DPWeight 12240 | 1 1 1 1 1 0 0 0 1 1
28 10 1408 DPWeight 14120 | 1 0 1 1 1 1 0 1 1 1
29 10 1121 DPWeight 10840 | 1 0 1 0 0 1 1 1 1 1
30 10 1122 DPWeight 10980 | 1 1 1 1 1 0 1 0 1 1
31 10 1054 DPWeight 10500 | 1 0 1 1 1 1 0 1 1 0
32 10 690 DPWeight 6900 | 1 1 0 1 1 1 0 1 0 1
33 10 1050 DPWeight 10360 | 1 0 1 1 0 0 1 1 1 1
34 10 893 DPWeight 9080 | 1 1 0 0 1 1 1 0 0 1
35 10 1126 DPWeight 11140 | 1 0 0 1 1 1 0 1 1 1
36 10 945 DPWeight 9360 | 1 1 1 0 1 1 0 1 1 1
37 10 814 DPWeight 7830 | 0 1 1 1 1 1 1 1 1 1
38 10 895 DPWeight 8720 | 1 1 1 1 0 1 0 1 1 0
39 10 1240 DPWeight 12420 | 1 0 1 1 0 1 0 1 1 1
40 10 663 DPWeight 6530 | 0 1 1 1 1 1 1 0 0 1
41 10 1197 DPWeight 11840 | 0 1 1 1 1 0 1 1 1 1
42 10 682 DPWeight 6480 | 1 1 1 1 0 1 0 1 1 1
43 10 1058 DPWeight 10780 | 1 1 1 1 0 0 0 1 1 0
44 10 1189 DPWeight 11580 | 1 0 1 1 1 1 1 0 1 1
45 10 996 DPWeight 9880 | 1 1 1 1 1 1 0 1 0 1
46 10 1259 DPWeight 12470 | 1 1 0 1 1 1 0 0 1 1
47 10 914 DPWeight 9170 | 1 1 1 1 0 1 1 0 1 0
48 10 1074 DPWeight 10840 | 1 1 0 1 1 1 0 0 1 1
49 10 1019 DPWeight 10340 | 1 1 0 1 1 1 1 1 0 1
50 10 1091 DPWeight 10720 | 1 1 1 1 1 1 0 0 1 0
51 10 1116 DPWeight 11200 | 1 0 1 1 0 1 0 1 1 1
52 10 986 DPWeight 9570 | 1 1 1 1 1 1 1 1 0 0
53 10 911 DPWeight 8710 | 1 0 1 1 1 1 0 1 1 1
54 10 999 DPWeight 9760 | 1 1 0 1 1 1 0 1 1 0
55 10 1096 DPWeight 10920 | 1 0 1 1 1 1 1 0 1 0
56 10 1236 DPWeight 12380 | 1 1 0 0 1 1 1 1 1 0
57 10 1013 DPWeight 10160 | 1 1 1 1 0 1 1 0 1 1
58 10 982 DPWeight 9670 | 1 0 1 1 1 0 1 1 1 1
59 10 1186 DPWeight 11510 | 1 1 1 1 1 1 1 0 1 0
60 10 641 DPWeight 5850 | 1 1 1 0 1 1 1 0 1 1
61 10 1218 DPWeight 12180 | 0 1 0 1 1 1 1 0 0 1
62 10 1378 DPWeight 13970 | 1 0 1 1 0 1 1 0 1 1
63 10 851 DPWeight 8470 | 1 1 1 0 0 1 1 0 1 1
64 10 859 DPWeight 8460 | 0 0 1 1 1 1 1 1 1 0
65 10 793 DPWeight 8090 | 1 1 1 1 0 1 0 0 1 1
66 10 757 DPWeight 7670 | 1 1 1 1 0 0 1 1 1 0
67 10 756 DPWeight 7530 | 1 0 1 1 1 1 1 1 1 1
68 10 1146 DPWeight 11440 | 1 1 1 1 0 0 1 1 0 1
69 10 1062 DPWeight 10400 | 0 1 0 1 1 1 1 1 1 0
70 10 1175 DPWeight 11400 | 1 1 1 1 1 0 1 1 1 0
71 10 906 DPWeight 9200 | 1 1 1 1 0 1 0 1 1 1
72 10 669 DPWeight 6800 | 0 1 0 1 0 1 0 1 1 1
73 10 1020 DPWeight 10010 | 0 1 1 1 1 1 0 1 1 1
74 10 858 DPWeight 8590 | 1 0 1 1 1 1 0 0 0 1
75 10 981 DPWeight 9470 | 1 0 1 0 1 1 1 1 1 0
76 10 1124 DPWeight 10930 | 1 0 1 1 0 1 1 1 0 1
77 10 888 DPWeight 8920 | 1 1 1 1 1 0 1 1 0 1
78 10 1086 DPWeight 10640 | 0 1 1 1 1 1 0 1 1 1
79 10 985 DPWeight 9720 | 1 1 0 1 1 1 0 0 1 1
80 10 1257 DPWeight 12240 | 1 1 0 1 0 1 1 1 1 1
81 10 1382 DPWeight 13970 | 1 1 0 1 1 1 0 1 0 1
82 10 871 DPWeight 8770 | 1 0 1 1 1 0 0 1 1 1
83 10 866 DPWeight 8360 | 1 1 1 0 1 1 1 1 0 0
84 10 1244 DPWeight 12260 | 1 1 1 1 0 0 0 1 1 1
85 10 831 DPWeight 8010 | 0 1 0 1 1 1 1 1 1 1
86 10 1139 DPWeight 11180 | 1 1 1 1 0 1 1 1 1 0
87 10 1153 DPWeight 11570 | 1 1 1 0 1 0 1 0 0 1
88 10 1074 DPWeight 10800 | 1 0 1 0 1 1 0 1 1 1
89 10 1625 DPWeight 16200 | 1 1 1 1 0 1 1 1 0 1
90 10 1264 DPWeight 12690 | 0 1 1 0 1 1 1 0 1 1
91 10 1394 DPWeight 13860 | 1 1 1 0 1 1 1 0 1 0
92 10 1129 DPWeight 11240 | 0 1 1 1 0 1 1 1 1 1
93 10 1185 DPWeight 11710 | 1 1 1 1 1 1 0 0 0 1
94 10 1007 DPWeight 10160 | 1 1 1 0 0 1 0 0 1 1
95 10 1257 DPWeight 12630 | 1 0 1 0 1 1 0 1 1 1
96 10 789 DPWeight 7600 | 1 1 1 0 1 1 1 1 0 0
97 10 895 DPWeight 8650 | 1 1 1 0 0 1 0 1 1 1
98 10 763 DPWeight 7840 | 1 1 0 1 1 1 0 1 1 0
99 10 938 DPWeight 9480 | 1 1 0 1 1 1 0 1 1 1
100 10 843 DPWeight 8410 | 1 0 1 1 0 1 1 0 0 1
