1 10 817 Greedy 8 | 0 1 1 1 1 0 1 1 1 1
2 10 1063 Greedy 7 | 1 1 1 1 1 1 0 1 0 0
3 10 1232 Greedy 7 | 1 1 0 1 0 1 1 1 1 0
4 10 1059 Greedy 8 | 1 0 1 0 1 1 1 1 1 1
5 10 1155 Greedy 8 | 1 1 0 1 1 1 1 1 0 1
6 10 722 Greedy 8 | 1 1 0 1 0 1 1 1 1 1
7 10 1198 Greedy 8 | 1 1 0 1 1 1 1 1 1 0
8 10 881 Greedy 9 | 1 1 1 1 1 1 1 0 1 1
9 10 591 Greedy 7 | 1 1 0 0 0 1 1 1 1 1
10 10 1175 Greedy 7 | 1 1 0 1 0 1 0 1 1 1
11 10 775 Greedy 8 | 1 1 1 1 1 1 1 0 1 0
12 10 972 Greedy 8 | 1 1 1 1 1 1 1 0 0 1
13 10 1182 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
14 10 818 Greedy 9 | 0 1 1 1 1 1 1 1 1 1
15 10 763 Greedy 7 | 1 1 0 0 1 1 1 1 0 1
16 10 902 Greedy 6 | 1 0 1 0 0 1 0 1 1 1
17 10 1090 Greedy 8 | 1 1 0 1 1 1 0 1 1 1
18 10 986 Greedy 7 | 1 1 1 1 1 0 0 1 0 1
19 10 1115 Greedy 8 | 1 0 1 1 1 1 1 1 0 1
20 10 959 Greedy 7 | 0 1 1 1 1 1 1 0 0 1
21 10 1549 Greedy 8 | 1 1 1 1 1 0 0 1 1 1
22 10 1105 Greedy 7 | 0 1 1 0 1 0 1 1 1 1
23 10 1140 Greedy 8 | 1 1 1 1 1 1 1 0 0 1
24 10 1319 Greedy 7 | 1 1 0 1 1 1 1 0 1 0
25 10 1171 Greedy 8 | 1 1 1 1 0 1 1 1 0 1
26 10 946 Greedy 8 | 1 1 1 1 0 1 1 1 1 0
27 10 1205 Greedy 7 | 1 1 1 1 1 0 0 0 1 1
28 10 1353 Greedy 7 | 0 0 1 1 1 1 1 0 1 1
29 10 1091 Greedy 8 | 1 0 1 1 1 0 1 1 1 1
30 10 1018 Greedy 8 | 1 1 1 1 0 1 1 0 1 1
31 10 1054 Greedy 7 | 0 0 1 1 1 1 1 1 1 0
32 10 690 Greedy 7 | 1 1 0 1 1 1 0 1 0 1
33 10 1034 Greedy 8 | 1 1 1 1 0 1 1 1 1 0
34 10 887 Greedy 6 | 1 1 1 0 1 1 1 0 0 0
35 10 1098 Greedy 7 | 1 0 1 1 1 1 0 1 0 1
36 10 945 Greedy 8 | 1 1 1 0 1 1 0 1 1 1
37 10 814 Greedy 9 | 0 1 1 1 1 1 1 1 1 1
38 10 879 Greedy 9 | 1 1 1 0 1 1 1 1 1 1
39 10 1240 Greedy 7 | 1 0 1 1 0 1 0 1 1 1
40 10 663 Greedy 7 | 0 1 1 1 1 1 1 0 0 1
41 10 1178 Greedy 8 | 1 0 1 1 1 0 1 1 1 1
42 10 674 Greedy 8 | 0 1 1 1 1 1 0 1 1 1
43 10 1039 Greedy 7 | 0 1 1 1 1 1 1 1 0 0
44 10 1036 Greedy 8 | 0 1 1 0 1 1 1 1 1 1
45 10 996 Greedy 8 | 1 1 1 1 1 1 0 1 0 1
46 10 1208 Greedy 7 | 0 1 1 1 1 1 0 1 0 1
47 10 914 Greedy 7 | 1 1 1 1 0 1 1 0 1 0
48 10 1062 Greedy 7 | 1 1 1 0 1 1 0 0 1 1
49 10 1008 Greedy 7 | 1 1 0 0 0 1 1 1 1 1
50 10 1060 Greedy 7 | 1 0 1 1 1 1 0 1 1 0
51 10 1098 Greedy 8 | 0 1 1 1 1 0 1 1 1 1
52 10 986 Greedy 8 | 1 1 1 1 1 1 1 1 0 0
53 10 900 Greedy 9 | 0 1 1 1 1 1 1 1 1 1
54 10 974 Greedy 8 | 1 1 0 1 1 1 1 1 0 1
55 10 1096 Greedy 7 | 1 0 1 1 1 1 1 0 1 0
56 10 1224 Greedy 7 | 0 1 1 0 1 1 0 1 1 1
57 10 1013 Greedy 8 | 1 1 1 1 0 1 1 0 1 1
58 10 982 Greedy 8 | 1 0 1 1 1 0 1 1 1 1
59 10 1170 Greedy 8 | 1 1 0 1 1 1 1 1 1 0
60 10 613 Greedy 9 | 1 1 0 1 1 1 1 1 1 1
61 10 1215 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
62 10 1346 Greedy 7 | 1 0 0 1 0 1 1 1 1 1
63 10 825 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
64 10 859 Greedy 7 | 0 0 1 1 1 1 1 1 1 0
65 10 781 Greedy 8 | 1 1 1 0 1 1 1 1 0 1
66 10 757 Greedy 7 | 1 1 1 1 0 0 1 1 1 0
67 10 746 Greedy 9 | 1 1 1 1 1 1 0 1 1 1
68 10 1146 Greedy 7 | 1 1 1 1 0 0 1 1 0 1
69 10 1023 Greedy 8 | 1 1 0 1 1 1 0 1 1 1
