1 10 900 Brute 1022 | 0 1 0 1 1 1 1 1 1 1
2 10 1250 Brute 1021 | 1 1 1 1 0 1 0 1 1 1
3 10 1306 Brute 1022 | 1 1 1 0 1 1 1 1 0 1
4 10 1042 Brute 1023 | 1 1 1 0 1 1 1 1 1 1
5 10 1106 Brute 1022 | 1 0 1 1 1 1 1 1 1 0
6 10 1196 Brute 1019 | 1 0 0 1 1 1 1 1 1 1
7 10 765 Brute 1023 | 1 1 0 1 1 1 1 1 1 1
8 10 1100 Brute 1023 | 1 0 1 1 1 1 1 1 1 1
9 10 1267 Brute 1019 | 0 1 1 1 1 1 1 1 1 0
10 10 1175 Brute 1020 | 1 1 1 0 1 1 1 1 0 1
11 10 974 Brute 1023 | 1 1 1 0 1 1 1 1 1 1
12 10 1080 Brute 1022 | 0 1 1 1 1 1 1 0 1 1
13 10 1067 Brute 1021 | 1 1 1 1 1 1 1 0 1 0
14 10 1154 Brute 1019 | 1 1 1 0 1 0 1 1 1 1
15 10 1184 Brute 1019 | 1 1 1 0 1 1 1 1 0 1
16 10 983 Brute 1023 | 1 1 1 1 1 1 0 1 1 1
17 10 787 Brute 1023 | 1 1 1 1 1 1 1 1 1 0
18 10 1197 Brute 1022 | 1 1 1 1 1 1 1 1 0 0
19 10 1197 Brute 1020 | 0 1 1 1 1 0 1 1 1 1
20 10 1114 Brute 1019 | 1 1 1 0 1 1 1 0 1 1
21 10 1160 Brute 1021 | 1 1 1 0 1 1 1 1 0 1
22 10 1228 Brute 1021 | 1 1 1 1 1 0 1 1 1 0
23 10 1145 Brute 1015 | 1 0 1 1 1 1 1 1 0 1
24 10 1303 Brute 1021 | 1 1 1 1 1 1 0 0 1 1
25 10 852 Brute 1023 | 1 0 1 1 1 1 0 1 1 1
26 10 1118 Brute 1021 | 1 0 1 1 1 1 1 1 1 0
27 10 1235 Brute 1021 | 1 0 1 1 1 1 1 1 1 0
28 10 893 Brute 1022 | 1 0 1 1 1 1 1 1 0 1
29 10 1127 Brute 1022 | 1 1 0 1 1 1 1 1 0 1
30 10 922 Brute 1023 | 1 1 1 1 1 0 1 1 1 1
31 10 955 Brute 1023 | 0 1 1 1 1 1 1 1 1 1
32 10 1189 Brute 1020 | 1 1 1 0 1 1 1 1 1 0
33 10 1139 Brute 1021 | 1 1 1 0 1 1 1 1 0 1
34 10 1240 Brute 1021 | 1 0 1 0 1 1 1 1 1 1
35 10 1004 Brute 1022 | 1 0 1 1 1 1 0 1 1 1
36 10 1305 Brute 1021 | 0 1 1 1 1 1 1 0 1 1
37 10 1184 Brute 1022 | 1 1 1 0 1 0 1 1 1 1
38 10 1014 Brute 1021 | 1 1 1 1 0 1 1 1 1 0
39 10 1156 Brute 1022 | 0 1 1 1 1 1 1 1 1 0
40 10 1403 Brute 1020 | 0 1 1 0 1 1 1 1 1 1
41 10 1154 Brute 1019 | 1 1 1 1 0 1 1 1 0 1
42 10 1221 Brute 1021 | 1 1 1 0 1 0 1 1 1 1
43 10 1089 Brute 1022 | 1 0 1 1 1 1 0 1 1 1
44 10 1280 Brute 1019 | 1 1 1 0 1 1 1 1 0 1
45 10 1349 Brute 1019 | 1 1 1 1 1 1 1 0 0 1
46 10 1145 Brute 1021 | 1 0 1 1 1 1 0 1 1 1
47 10 1083 Brute 1020 | 1 0 1 1 1 1 1 0 1 1
48 10 1328 Brute 1018 | 1 1 1 1 1 1 0 0 0 1
49 10 1142 Brute 1022 | 1 1 0 1 1 1 0 1 1 1
50 10 1258 Brute 1021 | 1 1 0 0 1 1 1 1 1 1
51 10 1201 Brute 1021 | 0 1 1 1 0 1 1 1 1 1
52 10 864 Brute 1023 | 0 1 1 1 1 1 1 1 1 1
53 10 1181 Brute 1019 | 1 0 1 1 1 1 0 1 1 1
54 10 1172 Brute 1019 | 1 0 1 1 1 1 1 1 0 1
55 10 1248 Brute 1022 | 1 1 1 1 0 1 1 1 0 1
56 10 1367 Brute 1021 | 1 1 1 1 0 0 1 1 1 1
57 10 1268 Brute 1020 | 1 0 1 1 1 1 1 0 1 1
58 10 1131 Brute 1022 | 1 1 0 1 0 1 1 1 1 1
59 10 1144 Brute 1021 | 1 1 0 1 1 1 0 1 1 1
60 10 1060 Brute 1022 | 1 0 1 1 1 1 0 1 1 1
61 10 983 Brute 1023 | 1 0 1 1 1 1 1 1 1 1
62 10 995 Brute 1023 | 1 1 0 1 1 1 1 1 1 1
63 10 1054 Brute 1023 | 1 1 1 1 0 1 1 1 1 1
64 10 1254 Brute 1021 | 0 1 1 1 1 1 1 1 0 1
65 10 1086 Brute 1022 | 1 1 1 0 1 1 0 1 1 1
66 10 866 Brute 1023 | 1 1 1 1 1 1 0 1 1 1
67 10 1238 Brute 1021 | 1 1 1 1 1 1 1 1 0 0
68 10 1135 Brute 1022 | 1 1 1 0 1 1 0 1 1 1
69 10 949 Brute 1023 | 1 1 0 1 1 1 1 1 1 1
70 10 993 Brute 1021 | 1 1 1 1 1 1 0 1 1 0
71 10 1074 Brute 1022 | 0 1 0 1 1 1 1 1 1 1
