1 10 1298 SBB 22 | 0 1 1 1 1 0 1 1 1 1
2 10 1119 SBB 25 | 1 1 0 1 1 1 1 1 1 0
3 10 1119 SBB 13 | 1 0 1 1 1 1 1 1 1 0
4 10 1041 SBB 10 | 1 0 1 0 1 1 1 1 1 1
5 10 1362 SBB 17 | 1 1 1 1 0 1 0 1 1 1
6 10 812 SBB 15 | 0 0 1 1 1 1 1 1 1 1
7 10 1301 SBB 63 | 1 1 1 1 0 1 0 1 1 1
8 10 881 SBB 10 | 1 1 0 1 1 0 1 1 1 1
9 10 1060 SBB 31 | 0 1 1 1 1 1 1 1 1 1
10 10 1211 SBB 29 | 0 1 1 1 1 1 1 0 1 1
11 10 1057 SBB 16 | 1 1 1 1 1 0 1 0 1 1
12 10 1090 SBB 16 | 0 0 1 1 1 1 1 1 1 1
13 10 1365 SBB 89 | 1 1 1 1 1 1 0 0 1 1
14 10 1258 SBB 19 | 1 1 1 1 0 0 1 1 1 1
15 10 897 SBB 10 | 1 1 0 1 1 1 1 0 1 1
16 10 1184 SBB 23 | 0 1 1 0 1 1 1 1 1 1
17 10 1350 SBB 11 | 1 1 1 1 1 1 1 1 0 1
18 10 1170 SBB 20 | 1 1 1 1 1 1 0 1 0 1
19 10 1347 SBB 51 | 1 1 1 0 1 1 0 1 1 1
20 10 1207 SBB 11 | 1 1 1 1 1 1 1 1 1 0
21 10 1433 SBB 13 | 1 0 0 1 1 1 1 1 1 1
22 10 1406 SBB 46 | 1 0 1 1 1 1 0 1 1 1
23 10 1260 SBB 12 | 1 1 1 1 1 0 1 0 1 1
24 10 1505 SBB 10 | 0 0 1 1 1 1 1 1 1 1
25 10 1185 SBB 11 | 1 0 1 1 1 1 1 1 1 0
26 10 1209 SBB 11 | 1 1 1 1 0 0 1 1 1 1
27 10 1433 SBB 10 | 1 1 0 1 1 1 1 1 0 1
28 10 1311 SBB 12 | 0 1 0 1 1 1 1 1 1 1
29 10 1155 SBB 10 | 0 0 1 1 1 1 1 1 1 1
30 10 1436 SBB 41 | 1 1 1 1 1 1 1 0 1 0
31 10 1141 SBB 13 | 1 1 1 1 0 1 1 0 1 1
32 10 902 SBB 22 | 1 0 0 1 1 1 1 1 1 1
33 10 1024 SBB 12 | 1 1 1 1 1 1 1 0 1 1
34 10 1182 SBB 13 | 1 0 0 1 1 1 1 1 1 1
35 10 926 SBB 17 | 1 1 0 1 1 1 0 1 1 1
36 10 1300 SBB 79 | 1 0 1 1 1 1 0 1 1 1
37 10 1251 SBB 12 | 1 1 1 1 1 0 1 1 0 1
38 10 1150 SBB 13 | 1 1 1 1 0 1 1 1 1 0
39 10 1462 SBB 12 | 1 1 0 1 1 1 1 1 1 0
40 10 1302 SBB 124 | 0 1 1 1 1 1 1 1 0 1
41 10 714 SBB 50 | 1 1 1 1 0 0 1 1 1 1
42 10 675 SBB 12 | 1 0 1 1 1 1 0 1 1 1
43 10 1260 SBB 10 | 1 1 1 1 0 0 1 1 1 1
44 10 1270 SBB 39 | 0 1 1 1 1 0 1 1 1 1
45 10 1076 SBB 27 | 1 1 1 0 0 1 1 1 1 1
46 10 1284 SBB 13 | 1 1 1 1 0 1 1 1 1 0
47 10 1146 SBB 12 | 1 1 1 1 1 0 1 1 0 1
48 10 1255 SBB 12 | 0 1 1 0 1 1 1 1 1 1
49 10 928 SBB 10 | 1 1 0 1 0 1 1 1 1 1
