1 10 1467 DP 16340 | 1 1 0 1 1 1 1 1 1 0
2 10 1288 DP 14100 | 1 1 1 1 0 1 1 1 0 1
3 10 1162 DP 12220 | 1 1 1 0 1 1 1 1 1 1
4 10 1120 DP 11750 | 1 0 1 1 1 1 1 1 1 1
5 10 968 DP 10330 | 1 1 1 1 0 0 1 1 1 1
6 10 1366 DP 15060 | 1 1 1 1 1 0 1 1 1 1
7 10 1253 DP 12820 | 1 1 1 1 1 1 0 1 1 1
8 10 1000 DP 10660 | 1 1 1 1 1 0 1 1 1 1
9 10 1049 DP 10610 | 1 1 1 1 1 1 1 0 1 1
10 10 1161 DP 12240 | 1 0 1 1 1 1 1 1 0 1
11 10 1267 DP 13850 | 0 1 0 1 1 1 1 1 1 1
12 10 1474 DP 15200 | 0 1 1 1 1 1 1 0 1 1
13 10 1438 DP 16500 | 1 1 1 0 1 1 1 1 1 1
14 10 1185 DP 13920 | 1 1 1 0 1 0 1 1 1 1
15 10 1264 DP 13580 | 1 0 1 0 1 1 1 1 1 1
16 10 1198 DP 13380 | 1 0 1 1 1 0 1 1 1 1
17 10 962 DP 10310 | 0 1 1 1 1 1 0 1 1 1
18 10 1094 DP 11260 | 1 1 1 1 1 1 1 0 0 1
19 10 1121 DP 11450 | 1 1 1 1 1 0 1 1 1 1
20 10 1255 DP 13540 | 1 1 1 1 1 0 1 1 1 1
21 10 817 DP 8800 | 1 1 1 0 1 0 1 1 1 1
22 10 718 DP 7250 | 1 1 1 0 1 1 1 0 1 1
23 10 1520 DP 17160 | 1 1 1 0 1 1 1 1 1 0
24 10 1293 DP 14800 | 0 1 1 1 0 1 1 1 1 1
25 10 916 DP 9540 | 1 1 1 1 1 1 1 1 0 1
26 10 1166 DP 12570 | 1 1 1 1 1 1 0 1 0 1
27 10 1230 DP 13780 | 1 1 1 0 1 1 1 1 1 0
28 10 784 DP 8000 | 1 1 1 1 1 1 1 1 0 0
29 10 1473 DP 16880 | 1 1 1 1 1 0 1 1 1 1
30 10 985 DP 10230 | 0 1 1 1 0 1 1 1 1 1
31 10 1195 DP 13660 | 1 1 1 1 1 1 0 0 1 1
32 10 1240 DP 13550 | 1 1 1 1 1 0 1 1 1 0
33 10 1254 DP 13690 | 1 1 1 1 1 1 0 1 0 1
34 10 840 DP 9200 | 1 1 1 1 1 1 1 0 1 0
35 10 966 DP 9770 | 0 1 1 1 0 1 1 1 1 1
36 10 1381 DP 15020 | 0 1 1 1 1 0 1 1 1 1
37 10 873 DP 8740 | 1 1 1 1 1 1 1 1 0 1
38 10 1133 DP 12720 | 1 1 0 1 1 0 1 1 1 1
39 10 868 DP 9310 | 1 1 1 1 0 1 1 1 1 1
40 10 1266 DP 14680 | 1 1 1 1 0 1 0 1 1 1
41 10 1178 DP 12390 | 1 1 1 1 1 1 1 1 0 1
42 10 1571 DP 15810 | 1 1 1 1 1 1 0 1 1 1
43 10 1111 DP 12140 | 0 1 1 1 0 1 1 1 1 1
44 10 1004 DP 10470 | 1 1 1 1 1 1 0 1 1 1
45 10 1446 DP 15990 | 1 1 1 1 1 0 1 1 1 1
46 10 1020 DP 10670 | 1 0 0 1 1 1 1 1 1 1
47 10 1553 DP 17250 | 1 1 1 1 1 0 1 1 1 1
48 10 1384 DP 16040 | 1 1 1 1 1 0 1 1 1 1
49 10 1287 DP 13710 | 1 1 1 1 1 1 1 0 0 1
50 10 1047 DP 10760 | 0 1 1 0 1 1 1 1 1 1
51 10 971 DP 10840 | 1 1 1 0 1 1 0 1 1 1
52 10 1054 DP 11650 | 1 1 1 1 0 1 1 0 1 1
53 10 776 DP 8290 | 1 1 0 1 0 1 1 1 1 1
54 10 1330 DP 14860 | 0 1 1 1 1 1 1 1 1 1
55 10 1281 DP 13940 | 0 0 1 1 1 1 1 1 1 1
56 10 1546 DP 16960 | 1 1 1 1 1 0 0 1 1 1
57 10 1245 DP 12620 | 1 1 0 1 1 0 1 1 1 1
58 10 1366 DP 14050 | 1 1 1 0 1 1 1 1 1 1
59 10 1116 DP 12270 | 1 1 1 0 1 1 1 0 1 1
60 10 1154 DP 12230 | 1 1 1 1 1 0 1 0 1 1
61 10 1215 DP 12240 | 1 0 1 1 0 1 1 1 1 1
62 10 1061 DP 11640 | 1 1 1 0 0 1 1 1 1 1
63 10 1292 DP 14070 | 1 1 1 1 1 0 1 1 0 1
64 10 1378 DP 15190 | 0 0 1 1 1 1 1 1 1 1
65 10 831 DP 8750 | 1 1 1 1 0 1 1 0 1 1
66 10 1530 DP 17680 | 0 1 1 1 1 1 0 1 1 1
67 10 824 DP 8630 | 1 1 1 1 1 1 1 1 0 1
68 10 1324 DP 14030 | 1 1 1 1 1 0 1 1 1 0
69 10 1131 DP 12490 | 1 1 1 0 1 1 0 1 1 1
70 10 1282 DP 13950 | 1 1 1 1 1 1 0 1 0 1
71 10 1229 DP 13840 | 1 1 1 1 1 1 0 1 1 1
72 10 1043 DP 11340 | 1 0 1 1 1 1 1 1 1 1
73 10 1495 DP 16410 | 1 0 1 1 1 1 0 1 1 1
74 10 1106 DP 12410 | 1 1 1 0 1 1 1 1 0 1
75 10 1248 DP 12880 | 0 1 1 1 0 0 1 1 1 1
76 10 1118 DP 12550 | 1 0 1 1 1 1 1 1 1 1
77 10 1604 DP 17000 | 1 1 1 1 1 1 0 1 0 1
78 10 1230 DP 12990 | 1 1 1 1 1 0 1 0 1 1
79 10 1130 DP 12370 | 1 1 1 0 1 0 1 0 1 1
80 10 958 DP 9660 | 1 1 1 1 1 0 1 1 1 1
81 10 1105 DP 11120 | 0 1 1 1 1 1 1 1 1 1
82 10 1189 DP 12530 | 0 1 1 0 1 1 1 1 1 1
83 10 1463 DP 15850 | 1 1 1 1 1 0 1 1 1 1
84 10 993 DP 10420 | 1 1 1 1 1 0 1 0 1 1
85 10 1281 DP 14080 | 1 0 1 1 1 1 1 1 1 0
86 10 865 DP 9280 | 1 1 1 0 1 1 0 1 1 1
87 10 1200 DP 12040 | 1 1 1 1 1 1 1 1 0 1
88 10 1130 DP 12060 | 1 1 1 1 1 1 0 1 1 1
89 10 976 DP 10400 | 1 1 1 1 0 1 0 1 1 1
90 10 1286 DP 13650 | 1 1 1 1 0 1 1 0 1 1
91 10 1243 DP 13550 | 1 1 1 1 1 0 1 1 1 1
92 10 824 DP 8800 | 1 1 1 1 0 1 1 1 1 0
93 10 914 DP 9890 | 1 1 1 1 0 1 0 1 1 1
94 10 1035 DP 10770 | 1 1 1 1 1 1 1 1 0 1
95 10 883 DP 8980 | 1 1 1 1 1 1 1 0 1 1
96 10 887 DP 9130 | 1 1 1 1 1 1 0 1 1 1
97 10 1218 DP 12710 | 1 0 1 1 1 1 1 1 1 0
98 10 954 DP 9700 | 1 1 1 1 0 1 1 0 1 1
99 10 831 DP 8580 | 1 1 0 1 1 0 1 1 1 1
100 10 1406 DP 15660 | 1 1 1 1 1 1 1 0 1 1
