1 10 1454 Greedy 9 | 0 1 1 1 1 1 1 1 1 1
2 10 1288 Greedy 8 | 1 1 1 1 0 1 1 1 0 1
3 10 1162 Greedy 9 | 1 1 1 0 1 1 1 1 1 1
4 10 1120 Greedy 9 | 1 0 1 1 1 1 1 1 1 1
5 10 968 Greedy 8 | 1 1 1 1 0 0 1 1 1 1
6 10 1366 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
7 10 1253 Greedy 9 | 1 1 1 1 1 1 0 1 1 1
8 10 1000 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
9 10 1049 Greedy 9 | 1 1 1 1 1 1 1 0 1 1
10 10 1161 Greedy 8 | 1 0 1 1 1 1 1 1 0 1
11 10 1267 Greedy 8 | 0 1 0 1 1 1 1 1 1 1
12 10 1474 Greedy 8 | 0 1 1 1 1 1 1 0 1 1
13 10 1438 Greedy 9 | 1 1 1 0 1 1 1 1 1 1
14 10 1183 Greedy 8 | 1 1 1 1 1 0 1 1 0 1
15 10 1264 Greedy 8 | 1 0 1 0 1 1 1 1 1 1
16 10 1198 Greedy 8 | 1 0 1 1 1 0 1 1 1 1
17 10 962 Greedy 8 | 0 1 1 1 1 1 0 1 1 1
18 10 1094 Greedy 8 | 1 1 1 1 1 1 1 0 0 1
19 10 1121 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
20 10 1255 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
21 10 817 Greedy 8 | 1 1 1 0 1 0 1 1 1 1
22 10 718 Greedy 8 | 1 1 1 0 1 1 1 0 1 1
23 10 1503 Greedy 8 | 1 1 1 0 0 1 1 1 1 1
24 10 1293 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
25 10 916 Greedy 9 | 1 1 1 1 1 1 1 1 0 1
26 10 1153 Greedy 9 | 1 0 1 1 1 1 1 1 1 1
27 10 1230 Greedy 8 | 1 1 1 0 1 1 1 1 1 0
28 10 784 Greedy 8 | 1 1 1 1 1 1 1 1 0 0
29 10 1473 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
30 10 985 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
31 10 1096 Greedy 8 | 1 1 1 1 1 0 0 1 1 1
32 10 1240 Greedy 8 | 1 1 1 1 1 0 1 1 1 0
33 10 1237 Greedy 8 | 0 1 1 1 1 1 1 1 0 1
34 10 840 Greedy 8 | 1 1 1 1 1 1 1 0 1 0
35 10 966 Greedy 8 | 0 1 1 1 0 1 1 1 1 1
36 10 1381 Greedy 8 | 0 1 1 1 1 0 1 1 1 1
37 10 873 Greedy 9 | 1 1 1 1 1 1 1 1 0 1
38 10 1133 Greedy 8 | 1 1 0 1 1 0 1 1 1 1
39 10 868 Greedy 9 | 1 1 1 1 0 1 1 1 1 1
40 10 1259 Greedy 8 | 1 1 1 1 1 1 0 1 0 1
41 10 1178 Greedy 9 | 1 1 1 1 1 1 1 1 0 1
42 10 1571 Greedy 9 | 1 1 1 1 1 1 0 1 1 1
43 10 1102 Greedy 8 | 1 1 1 0 0 1 1 1 1 1
44 10 1004 Greedy 9 | 1 1 1 1 1 1 0 1 1 1
45 10 1446 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
46 10 1020 Greedy 8 | 1 0 0 1 1 1 1 1 1 1
47 10 1553 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
48 10 1384 Greedy 9 | 1 1 1 1 1 0 1 1 1 1
49 10 1287 Greedy 8 | 1 1 1 1 1 1 1 0 0 1
50 10 1047 Greedy 8 | 0 1 1 0 1 1 1 1 1 1
51 10 910 Greedy 8 | 1 1 1 1 1 1 0 1 0 1
52 10 1054 Greedy 8 | 1 1 1 1 0 1 1 0 1 1
53 10 776 Greedy 8 | 1 1 0 1 0 1 1 1 1 1
54 10 1330 Greedy 9 | 0 1 1 1 1 1 1 1 1 1
55 10 1281 Greedy 8 | 0 0 1 1 1 1 1 1 1 1
56 10 1546 Greedy 8 | 1 1 1 1 1 0 0 1 1 1
57 10 1245 Greedy 8 | 1 1 0 1 1 0 1 1 1 1
58 10 1366 Greedy 9 | 1 1 1 0 1 1 1 1 1 1
59 10 1028 Greedy 8 | 1 1 1 1 0 1 1 0 1 1
