1 10 1508 SBB 14 | 1 1 0 1 0 1 1 1 1 1
2 10 1325 SBB 10 | 1 0 1 1 1 1 1 1 0 1
3 10 1076 SBB 22 | 0 1 1 0 1 1 1 1 0 1
4 10 1092 SBB 19 | 1 1 0 1 1 1 1 1 1 0
5 10 972 SBB 17 | 0 1 1 1 0 1 1 1 1 1
6 10 1430 SBB 10 | 1 1 1 1 1 1 0 1 1 0
7 10 1268 SBB 10 | 0 1 1 1 1 1 1 1 1 0
8 10 923 SBB 92 | 1 1 1 1 1 1 1 0 1 0
9 10 954 SBB 15 | 1 0 1 0 1 1 1 0 1 1
10 10 1110 SBB 24 | 1 1 1 1 0 1 1 1 0 1
11 10 1300 SBB 10 | 0 1 1 1 1 1 1 1 1 0
12 10 1369 SBB 15 | 0 1 0 1 1 1 1 0 1 1
13 10 1508 SBB 12 | 1 0 0 1 1 1 1 1 1 1
14 10 1363 SBB 10 | 1 1 1 1 0 1 1 0 1 1
15 10 1245 SBB 10 | 1 0 1 1 0 1 1 1 1 1
16 10 1204 SBB 19 | 1 0 1 1 1 1 1 1 0 1
17 10 921 SBB 40 | 0 1 1 1 1 1 1 1 0 1
18 10 1065 SBB 19 | 1 0 1 1 1 1 1 1 0 1
19 10 1104 SBB 13 | 1 1 1 1 1 1 1 0 0 1
20 10 1249 SBB 22 | 0 1 1 1 1 1 1 1 1 0
21 10 844 SBB 15 | 1 0 1 0 1 1 1 1 1 1
22 10 708 SBB 11 | 1 1 1 1 1 1 1 0 0 1
23 10 1416 SBB 152 | 1 1 1 1 1 1 0 1 1 0
24 10 1333 SBB 22 | 0 1 1 1 1 1 1 0 1 1
25 10 939 SBB 10 | 1 1 1 1 0 1 1 1 1 0
26 10 1184 SBB 15 | 1 1 1 1 1 0 0 1 1 1
27 10 1267 SBB 18 | 1 1 0 1 1 1 1 1 1 0
28 10 785 SBB 13 | 1 1 1 0 1 1 1 1 0 1
29 10 1531 SBB 13 | 0 1 1 1 1 1 1 1 0 1
30 10 1008 SBB 10 | 0 1 1 1 1 1 1 1 1 0
31 10 1232 SBB 27 | 1 1 1 1 1 1 1 0 1 0
32 10 1327 SBB 10 | 1 1 1 0 1 0 1 1 1 1
33 10 1287 SBB 10 | 1 1 1 1 1 0 1 1 0 1
34 10 863 SBB 12 | 1 1 1 1 0 1 1 1 1 0
35 10 943 SBB 13 | 1 1 1 1 0 1 1 1 0 1
36 10 1481 SBB 10 | 1 1 1 1 1 0 1 1 0 1
37 10 828 SBB 19 | 1 1 1 1 1 0 1 0 1 1
38 10 1265 SBB 10 | 1 0 1 1 1 1 1 1 1 1
39 10 914 SBB 10 | 0 0 1 1 1 1 1 1 1 1
40 10 1237 SBB 92 | 1 1 1 1 0 0 1 1 1 1
41 10 1147 SBB 25 | 1 1 0 0 1 1 1 1 1 1
42 10 1461 SBB 19 | 1 0 1 1 1 1 1 0 1 1
43 10 1197 SBB 10 | 0 1 1 0 1 1 1 1 1 1
44 10 941 SBB 44 | 0 1 0 1 1 1 1 1 1 1
45 10 1395 SBB 77 | 1 1 1 1 0 1 1 1 1 0
46 10 973 SBB 12 | 1 1 0 1 0 1 1 1 1 1
47 10 1584 SBB 12 | 1 1 0 1 1 1 1 1 0 1
48 10 1467 SBB 19 | 1 0 1 1 1 1 1 0 1 1
49 10 1301 SBB 17 | 1 1 1 1 1 1 1 1 0 0
50 10 1041 SBB 13 | 0 1 1 1 1 1 1 1 1 0
51 10 971 SBB 71 | 1 0 1 0 1 1 1 1 1 1
52 10 1118 SBB 10 | 1 1 1 1 1 1 1 0 1 0
53 10 805 SBB 10 | 1 1 1 1 0 1 1 0 1 1
54 10 1417 SBB 10 | 1 1 1 1 1 1 1 0 1 0
55 10 1284 SBB 19 | 0 1 1 1 1 1 1 0 1 1
