1 10 1256 Brute 1021 | 1 1 1 1 1 1 0 1 1 0
2 10 1188 Brute 1015 | 1 1 1 0 1 0 1 1 1 1
3 10 885 Brute 1021 | 0 1 1 1 1 1 0 1 1 1
4 10 1132 Brute 1019 | 1 1 1 1 0 1 1 0 1 1
5 10 1337 Brute 1017 | 1 0 1 1 1 1 1 0 1 1
6 10 1175 Brute 1019 | 1 0 1 1 1 0 1 1 1 1
7 10 1217 Brute 1021 | 1 1 1 0 1 1 1 1 0 1
8 10 1573 Brute 1020 | 1 1 1 0 1 1 1 1 1 0
9 10 1318 Brute 1012 | 1 1 1 0 0 1 1 1 1 1
10 10 1216 Brute 1019 | 1 1 0 1 1 1 0 1 1 1
11 10 1112 Brute 1021 | 0 1 1 1 1 1 1 1 1 0
12 10 1002 Brute 1012 | 0 1 1 1 1 0 1 1 1 1
13 10 1300 Brute 1017 | 1 0 0 1 1 1 1 0 1 1
14 10 935 Brute 1016 | 1 0 1 1 1 1 1 0 1 1
15 10 1034 Brute 1016 | 0 1 1 1 1 1 1 1 0 1
16 10 1377 Brute 1018 | 1 1 0 1 1 1 1 0 1 1
17 10 1091 Brute 1019 | 1 1 1 1 1 1 0 1 0 1
18 10 963 Brute 1020 | 0 1 1 1 1 1 1 1 1 0
19 10 1074 Brute 1018 | 1 1 1 1 1 0 0 1 0 1
20 10 847 Brute 1021 | 0 1 1 0 1 1 1 1 1 1
21 10 1250 Brute 1020 | 0 1 1 1 1 1 1 1 1 0
22 10 1214 Brute 1019 | 1 1 1 0 1 1 1 0 1 1
23 10 1326 Brute 1021 | 1 0 0 1 1 1 1 1 1 1
24 10 1381 Brute 1011 | 1 0 1 1 0 1 1 0 1 1
25 10 1306 Brute 1020 | 1 1 1 1 0 1 0 1 1 1
26 10 951 Brute 1019 | 1 1 0 0 1 1 1 0 1 1
27 10 1240 Brute 1018 | 1 1 1 1 1 0 1 0 1 1
28 10 1463 Brute 1020 | 1 0 1 0 1 1 1 1 1 1
29 10 1365 Brute 1016 | 1 1 1 0 1 1 1 0 1 1
