1 10 1231 DPWeight 15060 | 1 1 1 1 1 1 0 1 1 0
2 10 710 DPWeight 14440 | 1 1 1 0 1 1 1 0 1 1
3 10 1106 DPWeight 13150 | 1 0 1 1 1 1 1 1 0 1
4 10 1138 DPWeight 9810 | 1 1 1 0 0 0 1 1 1 1
5 10 1066 DPWeight 15170 | 1 1 1 0 1 1 1 1 0 1
6 10 1390 DPWeight 14190 | 1 1 1 1 0 1 1 1 0 1
7 10 900 DPWeight 11320 | 1 1 1 1 1 1 1 0 0 1
8 10 1090 DPWeight 14320 | 1 0 1 1 1 1 1 0 1 1
9 10 1360 DPWeight 16100 | 1 1 1 0 1 1 1 0 1 1
10 10 1514 DPWeight 15880 | 1 1 1 0 1 1 1 1 1 0
11 10 1489 DPWeight 15220 | 1 1 1 1 0 1 1 1 1 0
12 10 1223 DPWeight 14280 | 1 1 1 0 1 0 1 1 1 1
13 10 702 DPWeight 11790 | 1 1 1 0 1 0 1 1 1 1
14 10 1149 DPWeight 11490 | 1 0 0 1 1 0 1 1 1 1
15 10 1268 DPWeight 12730 | 1 1 1 1 1 0 1 0 1 1
16 10 1334 DPWeight 15600 | 1 1 1 1 1 0 0 1 1 1
17 10 604 DPWeight 14590 | 1 1 1 1 1 1 1 1 0 0
18 10 1447 DPWeight 12130 | 1 1 0 1 1 0 1 1 1 1
19 10 1186 DPWeight 15130 | 1 1 1 1 1 1 1 1 0 0
20 10 971 DPWeight 15210 | 1 1 1 0 1 1 0 1 1 1
21 10 943 DPWeight 13250 | 0 0 1 1 1 1 1 1 1 1
22 10 1083 DPWeight 13380 | 1 1 1 1 0 1 1 1 1 0
23 10 1328 DPWeight 13170 | 1 1 1 0 0 1 1 1 1 1
24 10 1078 DPWeight 12080 | 1 1 1 1 1 1 1 0 0 1
25 10 1415 DPWeight 14240 | 1 1 0 1 1 1 1 0 1 1
26 10 1142 DPWeight 13560 | 1 1 1 0 1 0 1 1 1 1
27 10 954 DPWeight 11910 | 1 1 1 0 1 1 1 1 1 0
28 10 1024 DPWeight 10470 | 1 1 0 1 1 1 1 1 1 0
29 10 1008 DPWeight 14480 | 1 1 0 1 1 1 1 0 1 1
30 10 963 DPWeight 11520 | 1 1 1 1 1 1 1 0 0 1
31 10 909 DPWeight 13770 | 0 1 1 1 0 1 1 1 1 1
32 10 1323 DPWeight 16460 | 0 1 0 1 1 1 1 1 1 1
33 10 1239 DPWeight 12640 | 1 1 0 1 1 1 1 1 0 1
34 10 1626 DPWeight 15170 | 1 0 1 0 1 0 1 1 1 1
35 10 1452 DPWeight 11840 | 1 0 1 1 1 0 1 1 1 1
36 10 1152 DPWeight 14510 | 1 1 1 1 1 1 1 1 0 0
37 10 1350 DPWeight 15650 | 1 1 1 1 0 1 1 1 1 0
38 10 1185 DPWeight 13380 | 1 1 0 1 0 1 1 1 1 1
39 10 1323 DPWeight 13760 | 1 1 1 1 0 1 0 1 1 1
40 10 1356 DPWeight 13010 | 1 1 0 1 1 1 1 1 1 0
41 10 1424 DPWeight 13700 | 1 0 1 1 1 1 1 1 1 0
42 10 875 DPWeight 13530 | 1 0 1 0 1 1 1 1 1 1
43 10 1297 DPWeight 12000 | 1 1 1 1 0 0 1 1 1 1
44 10 1240 DPWeight 14320 | 1 1 1 1 1 1 0 1 1 0
45 10 1225 DPWeight 10690 | 1 1 1 1 1 1 1 0 0 1
46 10 1510 DPWeight 11400 | 1 1 1 0 1 1 1 1 1 0
47 10 1316 DPWeight 13710 | 1 1 1 0 1 1 0 1 1 1
48 10 1379 DPWeight 12840 | 1 0 1 1 1 1 1 0 1 1
49 10 1250 DPWeight 14270 | 1 1 1 0 1 1 1 0 1 1
50 10 1266 DPWeight 11900 | 1 0 1 1 1 1 1 0 1 1
51 10 1338 DPWeight 9410 | 1 0 0 1 1 1 1 1 1 1
52 10 1387 DPWeight 11920 | 0 1 1 1 1 1 1 1 1 0
53 10 1056 DPWeight 12240 | 1 1 1 1 0 1 1 0 1 1
54 10 1414 DPWeight 14650 | 0 0 1 1 1 1 1 1 1 1
55 10 1158 DPWeight 13720 | 0 1 1 1 1 1 1 1 0 1
56 10 1172 DPWeight 15920 | 1 1 1 1 0 0 1 1 1 1
57 10 1146 DPWeight 11230 | 0 1 1 1 1 1 0 1 1 1
58 10 1372 DPWeight 12120 | 1 1 1 1 1 1 1 1 0 0
59 10 1401 DPWeight 13360 | 1 0 1 1 1 1 1 1 0 1
60 10 1090 DPWeight 13590 | 1 1 1 0 1 1 1 1 0 1
61 10 1249 DPWeight 14050 | 1 1 0 0 1 1 1 1 1 1
62 10 1191 DPWeight 13230 | 1 1 1 1 0 1 1 1 0 1
63 10 830 DPWeight 11760 | 1 1 1 0 1 1 0 1 1 1
64 10 1524 DPWeight 15220 | 0 1 1 1 1 0 1 1 1 1
65 10 1026 DPWeight 13890 | 1 1 1 1 0 1 1 0 1 1
66 10 977 DPWeight 12650 | 1 1 1 1 0 1 0 1 1 1
67 10 1012 DPWeight 16420 | 1 1 1 1 1 0 1 0 1 1
68 10 1092 DPWeight 12240 | 1 1 1 0 1 1 0 1 1 1
69 10 1302 DPWeight 15290 | 1 1 1 0 0 1 1 1 1 1
70 10 1161 DPWeight 12160 | 1 1 0 1 0 1 1 1 1 1
71 10 1387 DPWeight 13360 | 1 0 1 1 1 1 0 1 1 1
72 10 1045 DPWeight 14430 | 0 1 0 1 1 1 1 1 1 1
73 10 973 DPWeight 14520 | 1 1 0 1 0 1 1 1 1 0
74 10 1229 DPWeight 15080 | 1 1 0 1 1 1 1 1 0 1
75 10 1081 DPWeight 13240 | 0 1 1 1 1 1 1 1 0 1
76 10 1273 DPWeight 13540 | 1 1 1 1 0 1 1 1 1 0
77 10 1089 DPWeight 11160 | 0 1 1 1 1 1 0 1 1 1
78 10 1080 DPWeight 12750 | 1 1 1 1 1 1 1 1 0 0
79 10 1383 DPWeight 15820 | 1 0 1 1 1 1 1 1 0 1
80 10 984 DPWeight 17040 | 0 1 1 1 1 1 1 1 1 0
81 10 922 DPWeight 14200 | 1 1 0 1 1 1 1 0 1 1
82 10 877 DPWeight 10940 | 1 1 1 1 1 0 1 0 1 1
83 10 1543 DPWeight 15860 | 1 1 0 1 0 1 1 1 1 1
84 10 1244 DPWeight 13040 | 1 0 0 1 1 1 1 1 1 1
85 10 1141 DPWeight 13610 | 1 1 1 1 1 1 1 1 0 0
86 10 1059 DPWeight 12520 | 1 1 0 1 1 0 1 1 1 1
87 10 1368 DPWeight 11190 | 1 1 0 1 1 1 0 1 1 1
88 10 819 DPWeight 13480 | 1 0 1 0 1 1 1 1 1 1
89 10 1434 DPWeight 12170 | 1 1 0 1 1 1 0 1 1 1
90 10 951 DPWeight 11440 | 1 1 1 0 0 1 1 1 1 1
91 10 1194 DPWeight 12310 | 1 1 1 1 1 0 1 1 1 0
92 10 976 DPWeight 10880 | 0 0 1 1 1 1 1 1 1 1
93 10 1126 DPWeight 13160 | 1 0 0 1 1 1 1 1 1 1
94 10 1234 DPWeight 15800 | 1 0 1 1 1 1 0 1 1 1
95 10 1284 DPWeight 13980 | 1 0 1 1 1 1 0 1 1 1
96 10 1176 DPWeight 12120 | 1 1 0 1 1 1 0 1 1 1
97 10 774 DPWeight 14370 | 1 1 1 1 1 0 1 0 1 1
98 10 1200 DPWeight 12210 | 1 1 1 1 0 0 1 1 1 1
99 10 1220 DPWeight 13010 | 1 1 1 1 0 1 1 1 0 1
100 10 988 DPWeight 13620 | 1 1 1 1 1 1 0 1 1 0
