1 10 520 Brute 1022 | 0 1 1 1 1 0 1 1 1 1
2 10 449 Brute 1011 | 1 1 0 1 1 1 1 1 1 0
3 10 451 Brute 1020 | 1 0 1 1 1 1 1 1 1 0
4 10 419 Brute 1005 | 1 0 1 0 1 1 1 1 1 1
5 10 547 Brute 1018 | 1 1 1 1 0 1 0 1 1 1
6 10 326 Brute 1018 | 0 0 1 1 1 1 1 1 1 1
7 10 524 Brute 1019 | 1 1 1 1 0 1 0 1 1 1
8 10 354 Brute 1015 | 1 1 0 1 1 0 1 1 1 1
9 10 428 Brute 995 | 0 1 1 1 1 1 1 1 1 1
10 10 489 Brute 1020 | 0 1 1 1 1 1 1 0 1 1
11 10 424 Brute 1019 | 1 1 1 1 1 0 1 0 1 1
12 10 437 Brute 1012 | 0 1 1 1 1 0 1 1 1 1
13 10 548 Brute 1009 | 1 1 1 1 1 1 0 0 1 1
14 10 504 Brute 1013 | 1 1 1 1 0 0 1 1 1 1
15 10 362 Brute 1022 | 1 1 0 1 1 1 1 0 1 1
16 10 475 Brute 1011 | 0 1 1 0 1 1 1 1 1 1
17 10 543 Brute 1023 | 1 1 1 1 1 1 1 1 0 1
18 10 470 Brute 1020 | 1 1 1 1 1 1 0 1 0 1
19 10 543 Brute 1021 | 1 1 1 0 1 1 0 1 1 1
20 10 485 Brute 1023 | 1 1 1 1 1 1 1 1 1 0
21 10 577 Brute 1021 | 1 0 0 1 1 1 1 1 1 1
22 10 566 Brute 1019 | 1 0 1 1 1 1 0 1 1 1
23 10 506 Brute 1017 | 1 1 1 1 1 0 1 0 1 1
24 10 605 Brute 1013 | 0 0 1 1 1 1 1 1 1 1
25 10 477 Brute 1017 | 1 0 1 1 1 1 1 1 1 0
26 10 487 Brute 1016 | 1 1 1 1 0 0 1 1 1 1
27 10 576 Brute 1021 | 1 1 0 1 1 1 1 1 0 1
28 10 526 Brute 1015 | 0 1 0 1 1 1 1 1 1 1
29 10 463 Brute 1008 | 0 0 1 1 1 1 1 1 1 1
30 10 576 Brute 1019 | 1 1 1 1 1 1 1 0 1 0
31 10 458 Brute 1022 | 1 1 1 1 0 1 1 0 1 1
32 10 363 Brute 1012 | 1 0 0 1 1 1 1 1 1 1
33 10 413 Brute 1015 | 1 1 1 1 1 1 1 0 1 1
34 10 476 Brute 1020 | 1 0 0 1 1 1 1 1 1 1
35 10 373 Brute 1015 | 1 1 0 1 1 1 0 1 1 1
36 10 523 Brute 1010 | 1 0 1 1 1 1 0 1 1 1
37 10 504 Brute 1010 | 1 1 1 1 1 0 1 1 0 1
38 10 462 Brute 1021 | 1 1 1 1 0 1 1 1 1 0
39 10 588 Brute 1021 | 1 1 0 1 1 1 1 1 1 0
40 10 524 Brute 1013 | 0 1 1 1 1 1 1 1 0 1
41 10 289 Brute 1020 | 1 1 1 1 0 0 1 1 1 1
42 10 273 Brute 1021 | 1 0 1 1 1 1 0 1 1 1
43 10 506 Brute 1019 | 1 1 1 1 0 0 1 1 1 1
44 10 511 Brute 1003 | 0 1 1 1 1 0 1 1 1 1
45 10 433 Brute 1019 | 1 1 1 0 0 1 1 1 1 1
46 10 518 Brute 1022 | 1 1 1 1 0 1 1 1 1 0
47 10 460 Brute 1016 | 1 1 1 1 1 0 1 1 0 1
48 10 504 Brute 1011 | 0 1 1 0 1 1 1 1 1 1
49 10 373 Brute 1019 | 1 1 0 1 0 1 1 1 1 1
50 10 489 Brute 1018 | 1 0 1 1 1 1 0 1 1 1
51 10 409 Brute 1021 | 1 1 1 0 1 0 1 1 1 1
52 10 469 Brute 1019 | 1 0 1 1 0 1 1 1 1 1
53 10 431 Brute 1010 | 1 0 1 1 1 1 0 1 1 1
54 10 312 Brute 1019 | 1 1 1 1 1 1 1 0 1 0
55 10 389 Brute 1015 | 1 0 1 1 1 1 1 1 1 0
