1 10 1554 DPWeight 8060 | 0 1 1 1 1 0 1 1 1 1
2 10 1343 DPWeight 10540 | 1 1 0 1 1 1 1 1 1 0
3 10 1343 DPWeight 12160 | 1 0 1 1 1 1 1 1 1 0
4 10 1249 DPWeight 9930 | 1 0 1 0 1 1 1 1 1 1
5 10 1634 DPWeight 10550 | 1 1 1 1 0 1 0 1 1 1
6 10 974 DPWeight 10560 | 0 0 1 1 1 1 1 1 1 1
7 10 1562 DPWeight 10890 | 1 1 1 1 0 1 0 1 1 1
8 10 1056 DPWeight 11820 | 1 1 0 1 1 0 1 1 1 1
9 10 1272 DPWeight 6060 | 0 1 1 1 1 1 1 1 1 1
10 10 1453 DPWeight 12030 | 0 1 1 1 1 1 1 0 1 1
11 10 1267 DPWeight 12150 | 1 1 1 1 1 0 1 0 1 1
12 10 1308 DPWeight 13200 | 1 0 1 1 0 0 1 1 1 1
13 10 1637 DPWeight 8490 | 1 1 1 1 1 1 0 0 1 1
14 10 1509 DPWeight 12990 | 1 1 1 1 0 0 1 1 1 1
15 10 1074 DPWeight 8880 | 1 1 0 1 1 1 1 0 1 1
16 10 1422 DPWeight 6980 | 0 1 1 0 1 1 1 1 1 1
17 10 1621 DPWeight 8780 | 1 1 1 1 1 1 1 1 0 1
18 10 1402 DPWeight 10970 | 1 1 1 1 1 1 0 1 0 1
19 10 1619 DPWeight 12090 | 1 1 1 0 1 1 0 1 1 1
20 10 1448 DPWeight 9260 | 1 1 1 1 1 1 1 1 1 0
21 10 1720 DPWeight 12400 | 1 0 0 1 1 1 1 1 1 1
22 10 1687 DPWeight 9840 | 1 1 1 0 1 1 0 1 1 1
23 10 1510 DPWeight 11510 | 1 1 1 1 1 0 1 0 1 1
24 10 1807 DPWeight 11440 | 0 0 1 1 1 1 1 1 1 1
25 10 1421 DPWeight 11480 | 1 0 1 1 1 1 1 1 1 0
26 10 1451 DPWeight 12320 | 1 1 1 1 0 0 1 1 1 1
27 10 1719 DPWeight 10400 | 1 1 0 1 1 1 1 1 0 1
28 10 1573 DPWeight 11730 | 0 1 0 1 1 1 1 1 1 1
29 10 1385 DPWeight 11880 | 0 0 1 1 1 1 1 1 1 1
30 10 1722 DPWeight 10540 | 1 1 1 1 1 1 1 0 1 0
31 10 1369 DPWeight 10550 | 1 1 1 1 0 1 1 0 1 1
32 10 1081 DPWeight 9660 | 1 1 1 1 1 0 1 1 1 1
33 10 1229 DPWeight 9670 | 1 1 1 1 1 1 1 0 1 1
34 10 1417 DPWeight 10800 | 1 0 0 1 1 1 1 1 1 1
35 10 1109 DPWeight 9990 | 1 1 0 1 1 1 0 1 1 1
36 10 1560 DPWeight 9400 | 1 0 1 1 1 1 0 1 1 1
37 10 1501 DPWeight 9720 | 1 1 1 1 1 0 1 1 0 1
38 10 1379 DPWeight 10120 | 1 1 1 1 0 1 1 1 1 0
39 10 1754 DPWeight 8120 | 1 1 0 1 1 1 1 1 1 0
40 10 1565 DPWeight 6440 | 0 1 1 1 1 1 1 1 0 1
41 10 856 DPWeight 10020 | 1 1 1 1 0 0 1 1 1 1
42 10 810 DPWeight 11710 | 1 0 1 1 1 1 0 1 1 1
43 10 1511 DPWeight 12800 | 1 1 1 1 0 0 1 1 1 1
44 10 1524 DPWeight 9450 | 1 1 1 1 1 1 1 1 0 1
45 10 1292 DPWeight 11890 | 1 1 1 0 0 1 1 1 1 1
46 10 1541 DPWeight 12040 | 1 1 1 1 0 1 1 1 1 0
47 10 1375 DPWeight 9990 | 1 1 1 1 1 0 1 1 0 1
48 10 1504 DPWeight 10720 | 1 1 1 0 1 1 1 1 0 1
49 10 1112 DPWeight 7140 | 1 1 0 1 0 1 1 1 1 1
50 10 1462 DPWeight 12560 | 1 0 1 1 1 1 0 1 1 1
51 10 1217 DPWeight 11320 | 1 1 1 0 1 0 1 1 1 1
52 10 1400 DPWeight 11060 | 1 0 1 1 0 1 1 1 1 1
53 10 1284 DPWeight 10230 | 1 0 1 1 1 1 0 1 1 1
54 10 924 DPWeight 12440 | 1 1 1 1 1 1 1 0 1 0
55 10 1160 DPWeight 10350 | 1 0 1 1 1 1 1 1 1 0
56 10 1622 DPWeight 9060 | 1 1 1 0 1 1 1 0 1 1
57 10 1645 DPWeight 10180 | 1 1 1 1 1 1 0 0 1 1
58 10 1477 DPWeight 8120 | 1 0 0 1 1 1 1 1 1 1
59 10 1153 DPWeight 11760 | 1 1 1 1 1 1 0 1 1 0
60 10 1617 DPWeight 13090 | 1 1 0 1 1 1 0 1 1 1
61 10 1279 DPWeight 8690 | 0 0 1 1 1 1 1 1 1 1
62 10 1728 DPWeight 11040 | 1 1 1 1 1 0 1 1 1 0
63 10 1611 DPWeight 12630 | 1 0 1 1 1 1 1 1 0 1
64 10 1125 DPWeight 6400 | 0 1 1 0 1 1 1 1 1 1
65 10 1544 DPWeight 8400 | 1 1 1 1 1 0 1 1 0 1
66 10 1068 DPWeight 9000 | 0 0 1 1 1 1 1 1 1 1
67 10 1132 DPWeight 8980 | 1 1 1 1 1 0 1 0 1 1
68 10 768 DPWeight 8800 | 1 0 1 1 1 1 1 1 1 1
69 10 1440 DPWeight 8350 | 0 1 1 0 1 1 1 1 1 1
70 10 1503 DPWeight 11500 | 1 1 1 1 1 1 1 0 1 0
71 10 1667 DPWeight 10360 | 1 1 1 1 1 1 0 1 1 1
72 10 1396 DPWeight 8160 | 1 1 0 1 1 1 1 0 1 1
73 10 888 DPWeight 5480 | 1 1 1 1 1 1 1 0 1 0
