1 10 2590 DP 27850 | 0 1 1 1 1 0 1 1 1 1
2 10 2234 DP 24720 | 1 1 0 1 1 1 1 1 1 0
3 10 2233 DP 23440 | 1 0 1 1 1 1 1 1 1 0
4 10 2078 DP 21210 | 1 0 1 0 1 1 1 1 1 1
5 10 2721 DP 29810 | 1 1 1 1 0 1 0 1 1 1
6 10 1619 DP 17230 | 0 0 1 1 1 1 1 1 1 1
7 10 2599 DP 29450 | 1 1 1 1 0 1 0 1 1 1
8 10 1759 DP 17720 | 1 1 0 1 1 0 1 1 1 1
9 10 2118 DP 22760 | 0 1 1 1 1 1 1 1 1 1
10 10 2420 DP 27540 | 0 1 1 1 1 1 1 0 1 1
11 10 2109 DP 22200 | 1 1 1 1 1 0 1 0 1 1
12 10 2178 DP 23150 | 1 0 1 1 0 0 1 1 1 1
13 10 2726 DP 30860 | 1 1 1 1 1 1 0 0 1 1
14 10 2513 DP 26240 | 1 1 1 1 0 0 1 1 1 1
15 10 1789 DP 19090 | 1 1 0 1 1 1 1 0 1 1
16 10 2366 DP 25530 | 0 1 1 0 1 1 1 1 1 1
17 10 2698 DP 27890 | 1 1 1 1 1 1 1 1 0 1
18 10 2335 DP 25620 | 1 1 1 1 1 1 0 1 0 1
19 10 2693 DP 30190 | 1 1 1 0 1 1 0 1 1 1
20 10 2410 DP 25190 | 1 1 1 1 1 1 1 1 1 0
21 10 2863 DP 31030 | 1 0 0 1 1 1 1 1 1 1
22 10 2808 DP 32340 | 1 0 1 1 1 1 0 1 1 1
23 10 2517 DP 26420 | 1 1 1 1 1 0 1 0 1 1
24 10 3006 DP 30900 | 0 0 1 1 1 1 1 1 1 1
25 10 2367 DP 25000 | 1 0 1 1 1 1 1 1 1 0
26 10 2414 DP 26020 | 1 1 1 1 0 0 1 1 1 1
27 10 2861 DP 30230 | 1 1 0 1 1 1 1 1 0 1
28 10 2618 DP 26880 | 0 1 0 1 1 1 1 1 1 1
29 10 2304 DP 23960 | 0 0 1 1 1 1 1 1 1 1
30 10 2866 DP 32740 | 1 1 1 1 1 1 1 0 1 0
31 10 2278 DP 24220 | 1 1 1 1 0 1 1 0 1 1
