1 10 2590 SBB 26 | 0 1 1 1 1 0 1 1 1 1
2 10 2234 SBB 25 | 1 1 0 1 1 1 1 1 1 0
3 10 2233 SBB 13 | 1 0 1 1 1 1 1 1 1 0
4 10 2078 SBB 10 | 1 0 1 0 1 1 1 1 1 1
5 10 2721 SBB 17 | 1 1 1 1 0 1 0 1 1 1
6 10 1619 SBB 15 | 0 0 1 1 1 1 1 1 1 1
7 10 2599 SBB 63 | 1 1 1 1 0 1 0 1 1 1
8 10 1759 SBB 10 | 1 1 0 1 1 0 1 1 1 1
9 10 2118 SBB 31 | 0 1 1 1 1 1 1 1 1 1
10 10 2420 SBB 29 | 0 1 1 1 1 1 1 0 1 1
11 10 2109 SBB 16 | 1 1 1 1 1 0 1 0 1 1
12 10 2178 SBB 14 | 1 0 1 1 0 0 1 1 1 1
13 10 2726 SBB 89 | 1 1 1 1 1 1 0 0 1 1
14 10 2513 SBB 19 | 1 1 1 1 0 0 1 1 1 1
15 10 1789 SBB 10 | 1 1 0 1 1 1 1 0 1 1
16 10 2366 SBB 23 | 0 1 1 0 1 1 1 1 1 1
17 10 2698 SBB 11 | 1 1 1 1 1 1 1 1 0 1
18 10 2335 SBB 20 | 1 1 1 1 1 1 0 1 0 1
19 10 2693 SBB 51 | 1 1 1 0 1 1 0 1 1 1
20 10 2410 SBB 11 | 1 1 1 1 1 1 1 1 1 0
21 10 2863 SBB 13 | 1 0 0 1 1 1 1 1 1 1
22 10 2808 SBB 46 | 1 0 1 1 1 1 0 1 1 1
23 10 2517 SBB 12 | 1 1 1 1 1 0 1 0 1 1
24 10 3006 SBB 10 | 0 0 1 1 1 1 1 1 1 1
25 10 2367 SBB 11 | 1 0 1 1 1 1 1 1 1 0
26 10 2414 SBB 11 | 1 1 1 1 0 0 1 1 1 1
27 10 2861 SBB 10 | 1 1 0 1 1 1 1 1 0 1
28 10 2618 SBB 12 | 0 1 0 1 1 1 1 1 1 1
29 10 2304 SBB 10 | 0 0 1 1 1 1 1 1 1 1
30 10 2866 SBB 41 | 1 1 1 1 1 1 1 0 1 0
31 10 2278 SBB 13 | 1 1 1 1 0 1 1 0 1 1
32 10 1800 SBB 22 | 1 0 0 1 1 1 1 1 1 1
33 10 2046 SBB 12 | 1 1 1 1 1 1 1 0 1 1
34 10 2358 SBB 13 | 1 0 0 1 1 1 1 1 1 1
35 10 1847 SBB 17 | 1 1 0 1 1 1 0 1 1 1
36 10 2597 SBB 79 | 1 0 1 1 1 1 0 1 1 1
37 10 2498 SBB 12 | 1 1 1 1 1 0 1 1 0 1
38 10 2297 SBB 13 | 1 1 1 1 0 1 1 1 1 0
39 10 2920 SBB 12 | 1 1 0 1 1 1 1 1 1 0
40 10 2601 SBB 124 | 0 1 1 1 1 1 1 1 0 1
41 10 1424 SBB 50 | 1 1 1 1 0 0 1 1 1 1
42 10 1346 SBB 12 | 1 0 1 1 1 1 0 1 1 1
43 10 2516 SBB 10 | 1 1 1 1 0 0 1 1 1 1
44 10 2536 SBB 41 | 0 1 1 1 1 0 1 1 1 1
