1 4 1129 1.08337252 | 0 1 0 0
2 4 2966 2.978468337 | 0 1 1 0
3 4 0 0.523482994 | 0 0 0 0
4 4 70 1.964088213 | 1 0 0 0
5 4 2758 5.16494388 | 0 1 0 1
6 4 1641 0.305872415 | 0 1 0 0
7 4 4607 9.461034245 | 1 1 0 1
8 4 4422 3.352145645 | 0 1 1 0
9 4 3451 7.541283675 | 1 0 1 1
10 4 744 3.423193333 | 1 0 0 0
11 4 4774 7.349518084 | 1 1 1 0
12 4 1538 2.285922195 | 1 1 0 0
13 4 5798 7.978027475 | 1 1 0 1
14 4 3972 4.938690418 | 1 0 1 1
15 4 4117 7.052323906 | 1 1 0 0
16 4 2698 4.374349654 | 1 1 0 0
17 4 0 0.746177211 | 0 0 0 0
18 4 2453 2.363341021 | 1 0 0 0
19 4 3999 9.147234956 | 0 1 0 1
20 4 4919 9.817909614 | 1 1 1 0
21 4 2098 1.172008484 | 1 0 0 0
22 4 1382 2.844860698 | 0 0 0 1
23 4 4485 4.028188673 | 1 1 1 0
24 4 3611 4.844441077 | 0 1 1 1
25 4 3102 11.846283092 | 1 1 0 1
26 4 2551 4.497932872 | 0 1 0 1
27 4 3076 5.72860947 | 1 1 0 0
28 4 1649 2.139562803 | 0 0 0 1
29 4 2937 4.451986664 | 1 0 0 1
30 4 5798 11.854788989 | 1 1 0 1
