2 10 262 SBB 26 | 1 1 1 1 0 1 0 1 1 1
3 10 262 SBB 26 | 1 1 1 0 1 1 1 1 1 0
4 10 262 SBB 26 | 1 0 1 1 0 1 1 1 1 1
5 10 262 SBB 26 | 0 1 1 1 1 1 0 1 1 1
6 10 262 SBB 26 | 1 1 1 1 1 1 0 1 0 1
7 10 262 SBB 26 | 1 1 1 1 1 0 1 1 1 0
8 10 262 SBB 26 | 0 1 1 1 0 1 1 1 1 1
9 10 262 SBB 26 | 1 0 0 1 1 1 1 1 1 1
10 10 262 SBB 26 | 1 0 0 1 1 1 1 1 1 1
11 10 262 SBB 26 | 1 1 1 1 1 0 1 1 0 1
12 10 262 SBB 26 | 1 1 0 1 1 1 0 1 1 1
13 10 262 SBB 26 | 1 1 1 1 1 0 1 0 1 1
14 10 262 SBB 26 | 1 1 1 1 0 1 1 0 1 1
15 10 262 SBB 26 | 1 0 1 1 1 1 1 0 1 1
16 10 262 SBB 26 | 1 1 1 1 1 0 1 1 1 0
17 10 262 SBB 26 | 1 1 1 0 1 1 0 1 1 1
18 10 262 SBB 26 | 1 1 0 1 1 1 0 1 1 1
19 10 262 SBB 26 | 1 0 1 1 0 1 1 1 1 1
20 10 262 SBB 26 | 0 1 1 1 1 1 1 0 1 1
21 10 262 SBB 26 | 1 1 1 1 1 1 1 0 0 1
22 10 262 SBB 26 | 1 1 1 1 1 0 0 1 1 1
23 10 262 SBB 26 | 1 1 0 0 1 1 1 1 1 1
24 10 262 SBB 26 | 1 0 1 1 1 1 1 0 1 1
25 10 262 SBB 26 | 1 1 1 1 1 0 0 1 1 1
26 10 262 SBB 26 | 0 1 1 1 1 1 1 0 1 1
27 10 262 SBB 26 | 0 1 1 1 1 1 1 0 1 1
28 10 262 SBB 26 | 0 1 1 1 0 1 1 1 1 1
29 10 262 SBB 26 | 1 1 1 0 1 0 1 1 1 1
30 10 262 SBB 26 | 1 1 1 1 1 1 1 0 1 0
31 10 262 SBB 26 | 1 1 0 1 0 1 1 1 1 1
32 10 262 SBB 26 | 1 1 0 1 1 1 1 1 0 1
33 10 262 SBB 26 | 1 0 1 1 1 1 1 1 1 0
34 10 262 SBB 26 | 1 1 1 0 1 1 1 0 1 1
35 10 262 SBB 26 | 1 1 0 0 1 1 1 1 1 1
36 10 262 SBB 26 | 0 1 1 0 1 1 1 1 1 1
37 10 262 SBB 26 | 0 1 1 1 1 1 1 1 0 1
38 10 262 SBB 26 | 0 1 1 1 1 1 1 1 0 1
39 10 262 SBB 26 | 1 1 1 1 1 1 1 1 0 0
40 10 262 SBB 26 | 1 0 1 1 1 0 1 1 1 1
41 10 262 SBB 26 | 1 1 1 1 1 0 1 0 1 1
42 10 262 SBB 26 | 0 1 1 1 0 1 1 1 1 1
43 10 262 SBB 26 | 0 1 1 1 1 1 1 1 0 1
44 10 262 SBB 26 | 1 1 0 1 1 1 1 0 1 1
45 10 262 SBB 26 | 0 1 1 1 1 1 1 1 0 1
46 10 262 SBB 26 | 1 1 1 1 1 1 1 0 1 0
47 10 262 SBB 26 | 1 1 1 1 1 0 1 0 1 1
48 10 262 SBB 26 | 1 0 1 1 0 1 1 1 1 1
49 10 262 SBB 26 | 0 1 0 1 1 1 1 1 1 1
50 10 262 SBB 26 | 1 1 1 0 1 1 0 1 1 1
