1 10 1298 DPWeight 8060 | 0 1 1 1 1 0 1 1 1 1
2 10 1119 DPWeight 10540 | 1 1 0 1 1 1 1 1 1 0
3 10 1119 DPWeight 12160 | 1 0 1 1 1 1 1 1 1 0
4 10 1041 DPWeight 9930 | 1 0 1 0 1 1 1 1 1 1
5 10 1362 DPWeight 10550 | 1 1 1 1 0 1 0 1 1 1
6 10 812 DPWeight 10560 | 0 0 1 1 1 1 1 1 1 1
7 10 1301 DPWeight 10890 | 1 1 1 1 0 1 0 1 1 1
8 10 881 DPWeight 11820 | 1 1 0 1 1 0 1 1 1 1
9 10 1060 DPWeight 6060 | 0 1 1 1 1 1 1 1 1 1
10 10 1211 DPWeight 12030 | 0 1 1 1 1 1 1 0 1 1
11 10 1057 DPWeight 12150 | 1 1 1 1 1 0 1 0 1 1
12 10 1090 DPWeight 13200 | 1 0 1 1 0 0 1 1 1 1
13 10 1365 DPWeight 8490 | 1 1 1 1 1 1 0 0 1 1
14 10 1258 DPWeight 12990 | 1 1 1 1 0 0 1 1 1 1
15 10 897 DPWeight 8880 | 1 1 0 1 1 1 1 0 1 1
16 10 1184 DPWeight 6980 | 0 1 1 0 1 1 1 1 1 1
17 10 1350 DPWeight 8780 | 1 1 1 1 1 1 1 1 0 1
18 10 1170 DPWeight 10970 | 1 1 1 1 1 1 0 1 0 1
19 10 1347 DPWeight 12090 | 1 1 1 0 1 1 0 1 1 1
20 10 1207 DPWeight 9260 | 1 1 1 1 1 1 1 1 1 0
21 10 1433 DPWeight 12400 | 1 0 0 1 1 1 1 1 1 1
22 10 1406 DPWeight 9840 | 1 1 1 0 1 1 0 1 1 1
23 10 1260 DPWeight 11510 | 1 1 1 1 1 0 1 0 1 1
24 10 1505 DPWeight 11440 | 0 0 1 1 1 1 1 1 1 1
25 10 1185 DPWeight 11480 | 1 0 1 1 1 1 1 1 1 0
26 10 1209 DPWeight 12320 | 1 1 1 1 0 0 1 1 1 1
27 10 1433 DPWeight 10400 | 1 1 0 1 1 1 1 1 0 1
28 10 1311 DPWeight 11730 | 0 1 0 1 1 1 1 1 1 1
29 10 1155 DPWeight 11880 | 0 0 1 1 1 1 1 1 1 1
30 10 1436 DPWeight 10540 | 1 1 1 1 1 1 1 0 1 0
31 10 1141 DPWeight 10550 | 1 1 1 1 0 1 1 0 1 1
32 10 902 DPWeight 9660 | 1 1 1 1 1 0 1 1 1 1
33 10 1024 DPWeight 9670 | 1 1 1 1 1 1 1 0 1 1
34 10 1182 DPWeight 10800 | 1 0 0 1 1 1 1 1 1 1
35 10 926 DPWeight 9990 | 1 1 0 1 1 1 0 1 1 1
36 10 1300 DPWeight 9400 | 1 0 1 1 1 1 0 1 1 1
37 10 1251 DPWeight 9720 | 1 1 1 1 1 0 1 1 0 1
38 10 1150 DPWeight 10120 | 1 1 1 1 0 1 1 1 1 0
39 10 1462 DPWeight 8120 | 1 1 0 1 1 1 1 1 1 0
40 10 1302 DPWeight 6440 | 0 1 1 1 1 1 1 1 0 1
41 10 714 DPWeight 10020 | 1 1 1 1 0 0 1 1 1 1
42 10 675 DPWeight 11710 | 1 1 1 1 1 0 0 1 1 1
43 10 1260 DPWeight 12800 | 1 1 1 1 0 0 1 1 1 1
44 10 1270 DPWeight 9450 | 1 1 1 1 1 1 1 1 0 1
45 10 1076 DPWeight 11890 | 1 1 1 0 0 1 1 1 1 1
46 10 1284 DPWeight 12040 | 1 1 1 1 0 1 1 1 1 0
47 10 1146 DPWeight 9990 | 1 1 1 1 1 0 1 1 0 1
48 10 1255 DPWeight 10720 | 1 1 1 0 1 1 1 1 0 1
49 10 928 DPWeight 7140 | 1 1 0 1 0 1 1 1 1 1
50 10 1220 DPWeight 12560 | 1 0 1 1 1 1 0 1 1 1
51 10 1016 DPWeight 11320 | 1 1 1 0 1 0 1 1 1 1
52 10 1168 DPWeight 11060 | 1 0 1 1 0 1 1 1 1 1
53 10 1071 DPWeight 10230 | 1 0 1 1 1 1 0 1 1 1
54 10 769 DPWeight 12440 | 1 1 1 1 1 1 1 0 1 0
55 10 966 DPWeight 10350 | 1 0 1 1 1 1 1 1 1 0
56 10 1352 DPWeight 9060 | 1 1 1 0 1 1 1 0 1 1
57 10 1372 DPWeight 10180 | 1 1 1 1 1 1 0 0 1 1
58 10 1230 DPWeight 8120 | 1 0 0 1 1 1 1 1 1 1
59 10 960 DPWeight 11760 | 1 1 1 1 1 1 0 1 1 0
60 10 1348 DPWeight 13090 | 1 1 0 1 1 1 0 1 1 1
61 10 1067 DPWeight 8690 | 0 0 1 1 1 1 1 1 1 1
62 10 1441 DPWeight 11040 | 1 1 1 1 1 0 1 1 1 0
63 10 1342 DPWeight 12630 | 1 0 1 1 1 1 1 1 0 1
64 10 938 DPWeight 6400 | 0 1 1 0 1 1 1 1 1 1
65 10 1287 DPWeight 8400 | 1 1 1 1 1 0 1 1 0 1
66 10 889 DPWeight 9000 | 0 0 1 1 1 1 1 1 1 1
67 10 943 DPWeight 8980 | 1 1 1 1 1 0 1 0 1 1
68 10 640 DPWeight 8800 | 1 0 1 1 1 1 1 1 1 1
69 10 1200 DPWeight 8350 | 0 1 1 0 1 1 1 1 1 1
70 10 1252 DPWeight 11500 | 1 1 1 1 1 1 1 0 1 0
71 10 1389 DPWeight 10360 | 1 1 1 1 1 1 0 1 1 1
72 10 1164 DPWeight 8160 | 1 1 0 1 1 1 1 0 1 1
73 10 743 DPWeight 5480 | 1 1 1 1 1 1 1 0 1 0
74 10 1235 DPWeight 9600 | 1 1 0 1 0 1 1 1 1 1
75 10 728 DPWeight 11520 | 0 1 1 1 1 1 1 1 0 1
76 10 986 DPWeight 11240 | 1 1 1 0 0 1 1 1 1 1
77 10 1492 DPWeight 13480 | 1 1 0 1 1 1 0 1 1 1
78 10 959 DPWeight 9360 | 1 1 1 0 1 1 1 1 1 1
79 10 1052 DPWeight 11050 | 1 1 1 1 1 0 1 0 1 1
80 10 1076 DPWeight 12670 | 1 1 1 1 1 1 0 1 0 1
81 10 1143 DPWeight 13160 | 1 0 1 0 1 1 1 1 1 1
82 10 1512 DPWeight 12970 | 1 1 0 1 1 0 1 1 1 1
83 10 966 DPWeight 10220 | 1 1 1 1 1 0 0 1 0 1
84 10 1225 DPWeight 10230 | 1 1 1 1 1 1 1 0 0 1
85 10 1249 DPWeight 10320 | 1 1 1 0 1 1 1 1 0 1
86 10 1138 DPWeight 11080 | 1 1 1 1 1 1 1 1 0 0
87 10 1278 DPWeight 12090 | 1 1 0 1 1 1 1 0 1 1
88 10 1147 DPWeight 11400 | 1 1 1 1 0 1 1 0 1 1
89 10 1165 DPWeight 7230 | 1 1 1 1 1 1 0 1 0 1
90 10 1330 DPWeight 12350 | 1 1 1 1 1 1 0 1 0 1
91 10 1696 DPWeight 10710 | 1 1 1 1 1 1 1 0 0 1
92 10 1379 DPWeight 11800 | 1 1 1 0 1 1 1 1 1 0
93 10 1537 DPWeight 10600 | 1 1 1 0 1 0 1 1 1 1
94 10 1318 DPWeight 10510 | 1 1 1 0 1 0 1 1 1 1
95 10 1050 DPWeight 11010 | 1 1 0 1 1 1 0 1 1 1
96 10 1149 DPWeight 9940 | 0 1 0 1 1 1 1 1 1 1
97 10 1416 DPWeight 6670 | 1 1 1 1 0 1 1 1 1 1
98 10 1169 DPWeight 11480 | 1 1 1 1 1 0 1 1 0 1
99 10 1014 DPWeight 9710 | 1 1 1 1 0 1 1 1 0 1
100 10 787 DPWeight 7690 | 1 0 1 1 1 0 1 1 1 0
