1 15 977 DP 33435 | 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0
2 15 994 DP 30165 | 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0
3 15 1131 DP 28815 | 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1
4 15 834 DP 24435 | 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0
5 15 1001 DP 32895 | 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1
6 15 724 DP 17025 | 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0
7 15 854 DP 32805 | 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0
8 15 901 DP 29400 | 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1
9 15 1005 DP 35580 | 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0
10 15 690 DP 21225 | 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1
11 15 662 DP 20760 | 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1
12 15 803 DP 28980 | 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0
13 15 726 DP 32205 | 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0
14 15 1129 DP 33930 | 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0
15 15 907 DP 33030 | 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0
16 15 867 DP 31665 | 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0
17 15 808 DP 25095 | 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0
18 15 857 DP 28500 | 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0
19 15 1162 DP 31230 | 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0
20 15 1062 DP 40245 | 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0
21 15 925 DP 29940 | 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0
22 15 620 DP 21840 | 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0
23 15 765 DP 26475 | 1 0 0 0 0 1 0 1 1 0 1 0 1 0 0
24 15 831 DP 29460 | 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1
25 15 763 DP 24735 | 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0
26 15 712 DP 25680 | 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0
27 15 1012 DP 25020 | 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0
28 15 1006 DP 27180 | 0 0 0 0 0 1 1 1 0 0 0 1 0 0 1
29 15 1098 DP 29505 | 1 0 1 1 1 0 1 1 0 1 0 0 0 0 0
30 15 921 DP 32655 | 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1
31 15 722 DP 28035 | 0 0 0 1 1 1 0 1 0 0 0 0 1 0 0
32 15 836 DP 27540 | 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0
33 15 1134 DP 29445 | 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0
34 15 1101 DP 29970 | 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0
35 15 706 DP 30180 | 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0
36 15 1095 DP 26370 | 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1
37 15 1158 DP 29715 | 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1
38 15 1252 DP 30330 | 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0
39 15 952 DP 26085 | 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0
40 15 1054 DP 30660 | 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1
41 15 966 DP 30630 | 1 0 1 0 0 1 1 0 0 0 0 0 1 1 1
