1 15 920 Greedy 6 | 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0
2 15 994 Greedy 6 | 0 0 1 1 0 0 1 1 0 0 1 0 0 1 0
3 15 1062 Greedy 7 | 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1
4 15 788 Greedy 6 | 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1
5 15 979 Greedy 8 | 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1
6 15 715 Greedy 8 | 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1
7 15 820 Greedy 5 | 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1
8 15 901 Greedy 6 | 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1
9 15 925 Greedy 6 | 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0
10 15 690 Greedy 6 | 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1
11 15 662 Greedy 5 | 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1
12 15 803 Greedy 5 | 0 0 0 0 1 0 1 0 1 0 0 1 1 0 0
13 15 726 Greedy 5 | 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0
14 15 1129 Greedy 6 | 1 0 1 0 1 0 0 0 0 1 1 1 0 0 0
15 15 875 Greedy 5 | 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0
16 15 867 Greedy 6 | 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0
17 15 808 Greedy 4 | 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0
18 15 843 Greedy 5 | 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0
19 15 1162 Greedy 7 | 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0
20 15 1062 Greedy 5 | 1 1 0 1 0 0 0 0 0 0 1 0 1 0 0
21 15 905 Greedy 5 | 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0
22 15 612 Greedy 6 | 0 0 0 1 1 0 1 0 0 1 0 0 1 0 1
23 15 742 Greedy 6 | 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0
24 15 831 Greedy 5 | 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1
25 15 735 Greedy 4 | 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
26 15 709 Greedy 5 | 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1
27 15 1012 Greedy 6 | 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0
28 15 996 Greedy 6 | 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0
29 15 1098 Greedy 7 | 1 0 1 1 1 0 1 1 0 1 0 0 0 0 0
30 15 921 Greedy 5 | 0 0 0 1 0 0 1 0 0 1 0 0 0 1 1
31 15 700 Greedy 4 | 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
32 15 836 Greedy 5 | 0 0 1 0 1 0 0 0 1 1 0 0 1 0 0
33 15 1134 Greedy 7 | 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0
34 15 1101 Greedy 6 | 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0
35 15 706 Greedy 5 | 0 0 1 0 0 0 0 1 0 1 1 0 0 1 0
36 15 1095 Greedy 6 | 1 0 0 1 0 1 0 0 1 0 0 1 0 0 1
37 15 1158 Greedy 7 | 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1
38 15 1252 Greedy 7 | 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0
39 15 952 Greedy 6 | 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0
40 15 1054 Greedy 7 | 1 0 0 0 0 1 0 1 1 0 1 1 0 0 1
41 15 966 Greedy 7 | 1 0 1 0 0 1 1 0 0 0 0 0 1 1 1
42 15 1089 Greedy 5 | 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0
43 15 870 Greedy 6 | 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1
44 15 801 Greedy 6 | 0 0 1 1 1 0 0 0 0 0 0 1 0 1 1
45 15 858 Greedy 6 | 0 1 1 1 0 0 1 0 0 1 0 0 0 0 1
46 15 735 Greedy 7 | 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0
47 15 813 Greedy 5 | 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0
48 15 994 Greedy 5 | 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0
49 15 707 Greedy 7 | 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1
50 15 999 Greedy 6 | 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1
51 15 894 Greedy 5 | 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0
52 15 866 Greedy 5 | 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1
53 15 882 Greedy 5 | 0 0 0 1 0 1 0 0 1 1 0 0 1 0 0
54 15 943 Greedy 5 | 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0
55 15 902 Greedy 6 | 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0
56 15 968 Greedy 5 | 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1
57 15 880 Greedy 5 | 0 0 1 0 0 0 0 0 1 0 0 1 1 0 1
58 15 688 Greedy 5 | 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1
59 15 863 Greedy 6 | 0 1 1 1 1 0 0 1 1 0 0 0 0 0 0
60 15 624 Greedy 4 | 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0
61 15 620 Greedy 4 | 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0
62 15 920 Greedy 5 | 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1
63 15 966 Greedy 6 | 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0
64 15 859 Greedy 5 | 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0
65 15 887 Greedy 5 | 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1
66 15 681 Greedy 4 | 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0
67 15 628 Greedy 6 | 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0
68 15 657 Greedy 5 | 1 0 0 0 0 0 0 1 1 1 0 1 0 0 0
69 15 627 Greedy 4 | 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0
70 15 1183 Greedy 6 | 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0
71 15 828 Greedy 7 | 0 0 0 1 0 0 0 0 1 1 1 0 1 1 1
72 15 1011 Greedy 5 | 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0
73 15 1036 Greedy 5 | 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0
74 15 894 Greedy 6 | 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0
75 15 1025 Greedy 5 | 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0
76 15 716 Greedy 5 | 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1
77 15 950 Greedy 6 | 1 0 1 0 0 1 1 0 0 0 1 0 0 1 0
78 15 711 Greedy 5 | 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0
79 15 799 Greedy 5 | 1 1 1 0 1 0 0 0 0 0 1 0 0 0 0
80 15 781 Greedy 5 | 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1
81 15 805 Greedy 5 | 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0
82 15 796 Greedy 6 | 1 0 0 1 0 0 0 0 1 0 1 0 1 1 0
83 15 786 Greedy 5 | 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1
84 15 996 Greedy 5 | 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1
85 15 640 Greedy 5 | 0 0 1 1 0 0 0 0 0 1 1 0 0 0 1
86 15 714 Greedy 6 | 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0
87 15 816 Greedy 5 | 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0
88 15 751 Greedy 6 | 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0
89 15 934 Greedy 5 | 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1
90 15 644 Greedy 5 | 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0
91 15 967 Greedy 5 | 0 0 1 1 0 0 1 0 1 0 1 0 0 0 0
92 15 835 Greedy 5 | 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1
93 15 698 Greedy 5 | 0 1 0 1 0 0 0 0 1 0 0 0 1 0 1
94 15 792 Greedy 5 | 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0
95 15 835 Greedy 6 | 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1
96 15 756 Greedy 5 | 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0
97 15 799 Greedy 5 | 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0
98 15 1007 Greedy 7 | 0 1 0 0 0 1 0 0 1 0 1 1 1 1 0
99 15 889 Greedy 6 | 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0
100 15 1015 Greedy 8 | 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1
