1 10 1210 DPWeight 6040 | 1 1 1 1 1 0 1 0 1 1
2 10 948 DPWeight 7900 | 1 1 0 1 1 0 0 1 1 0
3 10 1029 DPWeight 9120 | 0 0 1 1 0 1 1 1 1 0
4 10 911 DPWeight 7450 | 0 0 1 0 1 0 1 1 1 1
5 10 1204 DPWeight 7910 | 1 1 1 1 0 1 0 1 0 1
6 10 769 DPWeight 7920 | 0 0 1 1 1 1 1 1 1 0
7 10 1058 DPWeight 8170 | 0 1 1 1 0 0 1 1 1 1
8 10 856 DPWeight 8860 | 1 1 0 1 1 0 1 1 0 1
9 10 1013 DPWeight 4540 | 0 1 1 1 0 0 1 1 1 1
10 10 1051 DPWeight 9020 | 0 1 1 1 1 0 0 0 1 1
11 10 957 DPWeight 9110 | 0 1 1 1 1 0 1 0 1 1
12 10 942 DPWeight 9900 | 1 0 1 0 0 0 1 1 1 1
13 10 1200 DPWeight 6370 | 1 1 0 1 1 1 0 0 1 1
14 10 1023 DPWeight 9740 | 1 1 1 1 0 1 1 0 1 0
15 10 838 DPWeight 6660 | 1 1 1 1 1 1 1 0 0 1
16 10 1101 DPWeight 5230 | 0 1 0 1 1 1 0 1 1 1
17 10 1197 DPWeight 6580 | 1 1 1 1 1 1 0 1 0 0
18 10 985 DPWeight 8230 | 1 1 1 1 1 0 0 1 0 0
19 10 1167 DPWeight 9070 | 1 1 1 1 1 1 0 0 0 1
20 10 1101 DPWeight 6940 | 1 0 1 1 1 1 1 0 1 0
21 10 1222 DPWeight 9300 | 0 0 0 1 0 1 1 1 1 1
22 10 1268 DPWeight 7380 | 1 0 1 0 1 1 0 1 1 1
23 10 1110 DPWeight 8630 | 1 1 1 0 0 0 1 0 1 1
24 10 1282 DPWeight 8580 | 1 0 1 0 0 1 1 1 1 1
25 10 1117 DPWeight 8610 | 1 0 1 0 1 1 1 1 1 0
26 10 1105 DPWeight 9240 | 1 1 1 1 0 1 0 1 1 0
27 10 1309 DPWeight 7800 | 1 1 0 0 1 1 1 1 0 1
28 10 1118 DPWeight 8800 | 0 0 0 0 1 1 1 1 1 1
29 10 1006 DPWeight 8910 | 1 0 1 1 0 1 1 0 1 1
