1 10 1210 Brute 1005 | 1 1 1 1 1 0 1 0 1 1
2 10 1037 Brute 973 | 1 1 0 1 1 1 0 1 1 0
3 10 1056 Brute 1001 | 0 0 1 1 0 1 1 1 1 1
4 10 952 Brute 963 | 1 0 1 1 1 1 0 1 1 1
5 10 1272 Brute 996 | 1 1 1 1 0 0 1 1 1 1
6 10 804 Brute 996 | 0 0 1 1 1 1 1 1 0 1
7 10 1200 Brute 995 | 1 1 1 1 0 0 1 1 1 1
8 10 862 Brute 994 | 1 1 1 1 1 0 1 1 0 1
9 10 1059 Brute 950 | 0 1 1 1 1 0 1 1 1 1
10 10 1168 Brute 994 | 0 1 1 1 1 1 0 1 1 1
11 10 964 Brute 996 | 1 1 1 1 1 0 1 0 1 0
12 10 1088 Brute 975 | 0 0 1 1 1 0 1 1 1 1
13 10 1271 Brute 974 | 1 1 0 1 1 1 1 0 0 1
14 10 1158 Brute 976 | 1 1 1 1 0 0 1 0 1 1
15 10 897 Brute 1002 | 1 1 0 1 1 1 1 0 1 1
16 10 1121 Brute 963 | 0 1 0 1 1 1 1 1 1 1
17 10 1225 Brute 1009 | 1 1 1 1 1 1 1 1 0 0
18 10 1093 Brute 989 | 1 1 1 1 1 0 1 1 0 1
19 10 1231 Brute 1005 | 1 1 1 0 1 1 0 1 0 1
20 10 1133 Brute 1012 | 1 0 1 1 1 1 1 1 1 0
21 10 1380 Brute 1004 | 0 0 0 1 1 1 1 1 1 1
22 10 1406 Brute 1003 | 1 0 1 1 1 1 0 1 1 1
23 10 1211 Brute 987 | 1 1 1 1 0 0 1 0 1 1
24 10 1391 Brute 978 | 0 0 1 1 0 1 1 1 1 1
25 10 1172 Brute 994 | 1 0 0 1 1 1 1 1 1 0
26 10 1175 Brute 987 | 1 1 1 1 0 0 1 1 1 0
27 10 1433 Brute 1007 | 1 1 0 1 1 1 1 1 0 1
28 10 1146 Brute 967 | 0 1 0 0 1 1 1 1 1 1
29 10 1080 Brute 998 | 0 0 1 1 0 1 1 1 1 1
30 10 1424 Brute 997 | 1 1 1 1 1 1 0 1 1 0
31 10 1138 Brute 1007 | 0 1 1 1 1 1 1 0 1 1
32 10 872 Brute 979 | 1 1 0 1 1 0 1 1 1 1
33 10 989 Brute 983 | 1 1 1 1 1 1 1 0 1 0
34 10 1182 Brute 1001 | 1 0 0 1 1 1 1 1 1 1
35 10 887 Brute 975 | 0 1 0 1 0 1 1 1 1 1
36 10 1192 Brute 978 | 1 0 1 1 1 0 1 1 1 1
37 10 1166 Brute 963 | 1 1 1 1 0 0 1 0 0 1
38 10 1106 Brute 1003 | 0 1 1 1 0 1 1 1 1 0
39 10 1420 Brute 1003 | 1 1 1 1 1 1 1 0 1 0
40 10 1228 Brute 986 | 0 1 1 0 0 1 1 1 1 1
41 10 714 Brute 1008 | 1 1 1 1 0 0 1 1 1 1
42 10 675 Brute 1006 | 1 0 1 1 1 1 0 1 1 1
43 10 1130 Brute 991 | 1 0 1 1 0 0 1 1 1 1
44 10 1195 Brute 966 | 0 1 0 1 1 0 1 1 1 1
45 10 994 Brute 996 | 1 1 0 0 0 1 1 1 1 1
46 10 1221 Brute 1008 | 1 1 1 1 1 1 1 1 0 0
47 10 1038 Brute 989 | 0 1 1 1 1 0 1 1 0 1
48 10 1224 Brute 975 | 0 1 1 0 1 1 1 1 0 1
49 10 910 Brute 949 | 1 1 0 1 0 1 1 1 0 1
50 10 1195 Brute 987 | 1 0 1 1 0 1 1 1 1 0
51 10 957 Brute 999 | 0 1 1 0 1 1 1 1 1 1
52 10 1096 Brute 994 | 1 1 1 0 0 1 1 1 1 1
53 10 1023 Brute 986 | 1 0 1 1 1 0 1 1 1 1
54 10 738 Brute 999 | 1 1 1 1 1 1 1 0 0 0
55 10 949 Brute 984 | 1 1 0 1 1 1 1 1 1 0
56 10 1335 Brute 1003 | 1 0 1 0 1 1 1 1 1 1
57 10 1306 Brute 958 | 1 1 1 1 1 1 1 0 0 1
58 10 1229 Brute 1002 | 1 1 0 1 1 1 1 1 0 1
59 10 919 Brute 989 | 0 1 1 1 1 1 0 1 1 0
60 10 1273 Brute 998 | 1 1 0 1 1 0 0 1 1 1
61 10 1067 Brute 1001 | 0 0 1 1 1 1 1 1 1 1
62 10 1369 Brute 972 | 1 1 1 1 1 0 1 0 1 0
63 10 1229 Brute 987 | 1 0 1 1 1 1 1 0 0 1
64 10 889 Brute 1006 | 0 1 1 0 1 1 1 1 1 0
65 10 1215 Brute 977 | 1 1 1 1 1 1 0 1 0 1
66 10 806 Brute 955 | 0 1 0 1 1 1 1 1 1 1
67 10 899 Brute 1004 | 1 1 1 1 1 0 1 1 1 0
68 10 635 Brute 1015 | 1 0 1 1 1 1 1 1 0 1
69 10 1129 Brute 991 | 0 0 1 0 1 1 1 1 1 1
70 10 1166 Brute 994 | 1 0 1 1 1 1 1 0 1 0
71 10 1353 Brute 1008 | 1 0 1 1 1 1 1 1 0 1
72 10 1103 Brute 955 | 1 1 0 0 1 1 1 1 1 1
73 10 730 Brute 988 | 1 1 1 1 1 0 1 1 1 1
74 10 1235 Brute 982 | 1 1 0 1 0 1 1 1 1 1
75 10 699 Brute 990 | 0 1 1 0 1 1 1 1 0 1
76 10 952 Brute 1007 | 1 0 1 0 1 1 1 1 1 1
77 10 1390 Brute 998 | 1 1 0 1 1 1 0 0 1 1
78 10 924 Brute 971 | 1 0 1 1 1 0 0 1 1 1
79 10 977 Brute 984 | 1 1 1 1 1 0 1 0 1 0
80 10 1004 Brute 989 | 1 1 1 1 1 1 1 0 0 0
81 10 1131 Brute 992 | 1 0 0 1 1 1 1 0 1 1
82 10 1435 Brute 994 | 1 1 0 1 1 0 1 0 1 1
83 10 901 Brute 981 | 1 1 1 1 1 0 0 0 1 1
84 10 1215 Brute 987 | 1 1 1 1 1 0 1 0 1 1
85 10 1153 Brute 971 | 1 1 1 1 1 1 1 0 0 1
86 10 1079 Brute 995 | 1 1 1 1 1 1 1 0 0 0
87 10 1220 Brute 977 | 1 1 0 1 1 0 1 0 1 1
88 10 1049 Brute 1001 | 1 0 1 1 0 1 1 0 1 1
89 10 1071 Brute 959 | 1 1 1 0 1 1 0 1 0 1
90 10 1211 Brute 993 | 1 0 1 1 1 1 1 1 1 0
91 10 1594 Brute 1003 | 1 1 1 0 1 1 1 1 0 1
92 10 1301 Brute 1003 | 1 1 1 0 1 1 1 1 0 0
93 10 1486 Brute 991 | 1 1 1 1 1 0 1 1 1 0
94 10 1199 Brute 997 | 1 0 1 0 1 0 1 1 1 1
95 10 1042 Brute 1003 | 1 1 1 1 1 1 0 1 1 0
96 10 1073 Brute 984 | 0 1 0 1 1 0 1 1 1 1
97 10 1299 Brute 1002 | 0 1 1 1 0 1 1 1 1 1
98 10 1153 Brute 1007 | 1 1 1 1 0 1 1 1 0 1
99 10 958 Brute 968 | 1 1 1 1 0 0 1 1 0 0
100 10 766 Brute 970 | 0 0 1 1 1 0 1 1 1 1
